class_number,label,wordnet_id,umap_x,umap_y,mean_top1_train_resnet50,mean_top1_val_resnet50,mean_nsfw_train,mean_nsfw_val
18,magpie,n01582220,3.640569,9.979931,0.8738461538461538,0.8,0.04957663430765488,0.06805845995721027
19,chickadee,n01592084,3.2405076,10.390053,0.9207692307692308,0.94,0.07763696716523966,0.036939824457294886
20,"water ouzel, dipper",n01601694,0.5757998000000001,7.193819,0.8807692307692307,0.8,0.011422567980000796,0.021933013161406053
21,kite,n01608432,3.25564,5.70558,0.8076923076923077,0.68,0.00866186377672297,0.0169427028627797
22,"bald eagle, American eagle, Haliaeetus leucocephalus",n01614925,3.5546231,7.9652033,0.9307692307692308,0.94,0.008253180808090678,0.0063179113027763386
23,vulture,n01616318,3.4367085,8.458725999999999,0.8123076923076923,0.76,0.01787612528777494,0.017904442951021338
24,"great grey owl, great gray owl, Strix nebulosa",n01622779,2.8063219,7.5730295,0.9515384615384616,0.96,0.005578855982723562,0.002660187437527384
25,"European fire salamander, Salamandra salamandra",n01629819,3.608314,7.20653,0.936153846153846,0.94,0.012309492798204641,0.02022955330545301
26,"common newt, Triturus vulgaris",n01630670,3.2460535,7.421218400000001,0.6376923076923077,0.4,0.04806282161481662,0.022652275304608338
27,eft,n01631663,1.6203718999999999,4.774789299999999,0.9030769230769232,0.72,0.051823929909547074,0.06191540561025704
28,"spotted salamander, Ambystoma maculatum",n01632458,2.9751654,9.071218,0.8553846153846154,0.72,0.03990931359758477,0.11994070172867395
29,"axolotl, mud puppy, Ambystoma mexicanum",n01632777,2.6263146,9.113072,0.8907692307692308,0.74,0.08833133312577772,0.04440405209239543
30,"bullfrog, Rana catesbeiana",n01641577,3.617948,8.473792999999999,0.8476923076923077,0.76,0.01715393033012215,0.00987540544139847
31,"tree frog, tree-frog",n01644373,2.656756,8.774141,0.8761538461538462,0.74,0.03567380201991187,0.04579199551948477
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",n01644900,3.099174,9.213101,0.6576923076923077,0.34,0.03510052129976406,0.0659844244591477
33,"loggerhead, loggerhead turtle, Caretta caretta",n01664065,2.2723289,9.191603,0.8023076923076923,0.62,0.033701643898851774,0.039551809994341054
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",n01665541,2.3423016,9.044309,0.8115384615384615,0.54,0.04153129658788105,0.048765239508175004
35,mud turtle,n01667114,2.059112,8.6251745,0.696923076923077,0.46,0.021185254606642254,0.032296701964989086
36,terrapin,n01667778,2.7500377,9.155709,0.5892307692307692,0.42,0.028525470557866688,0.0042010515195670456
37,"box turtle, box tortoise",n01669191,2.166401,8.266909,0.85,0.78,0.022979484810073763,0.025279672342110468
38,banded gecko,n01675722,3.3064343999999997,8.918453999999999,0.7907692307692308,0.74,0.0316123079259014,0.10665170202650187
39,"common iguana, iguana, Iguana iguana",n01677366,2.9297247000000004,7.9736648,0.803076923076923,0.7,0.0243960291684112,0.016252255364233862
40,"American chameleon, anole, Anolis carolinensis",n01682714,3.9571650000000003,7.563753599999999,0.6515384615384615,0.58,0.06190967523064121,0.06827218474521941
41,"whiptail, whiptail lizard",n01685808,3.219964,9.446603999999999,0.72,0.74,0.040171382654725335,0.05439303895458579
42,agama,n01687978,2.9033449,9.874476,0.8761538461538462,0.76,0.030046241148951443,0.019717293375410918
43,"frilled lizard, Chlamydosaurus kingi",n01688243,3.2425716,9.196714,0.8325872873769025,0.68,0.031625070041896075,0.021686077327794918
44,alligator lizard,n01689811,3.2167418,9.062401,0.7153846153846154,0.48,0.07925218835716841,0.08686877802228082
45,"Gila monster, Heloderma suspectum",n01692333,3.0276517999999997,8.439538,0.9307692307692308,0.76,0.014213455878533326,0.023111867554616763
46,"green lizard, Lacerta viridis",n01693334,2.8396169999999996,8.316619000000001,0.6353846153846154,0.5,0.046457922264771086,0.03291688997903975
47,"African chameleon, Chamaeleo chamaeleon",n01694178,3.9934117999999996,7.853770299999999,0.8546153846153847,0.62,0.046577079674357036,0.053727592463492325
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",n01695060,2.940807,8.494,0.9007692307692308,0.84,0.019666723592146742,0.03361684719993718
49,"African crocodile, Nile crocodile, Crocodylus niloticus",n01697457,3.981352,8.155308,0.75,0.46,0.012201502182289143,0.01969584628448501
50,"American alligator, Alligator mississipiensis",n01698640,3.9033542000000003,7.623147500000001,0.806923076923077,0.8,0.017265798110833064,0.015271203308623173
51,triceratops,n01704323,3.2793336,9.319201,0.9218009478672986,0.84,0.04043509360185808,0.06828646426514752
52,"thunder snake, worm snake, Carphophis amoenus",n01728572,2.7757702,8.634984,0.713076923076923,0.74,0.11082712702043153,0.12220752422138415
53,"ringneck snake, ring-necked snake, ring snake",n01728920,2.7068703,8.653314,0.8092307692307692,0.8,0.12429037489305805,0.23254524027724074
54,"hognose snake, puff adder, sand viper",n01729322,2.6196892000000003,8.630666999999999,0.6776923076923077,0.62,0.04018972299978253,0.05045978627281784
55,"green snake, grass snake",n01729977,2.6090732000000005,8.419169,0.7961538461538461,0.74,0.05086904538588186,0.04022489151488117
56,"king snake, kingsnake",n01734418,2.606826,8.31137,0.84,0.82,0.0558829766786384,0.04250680930756545
57,"garter snake, grass snake",n01735189,2.5993202,8.642583,0.8830769230769231,0.84,0.04061602585720337,0.05892011079224176
58,water snake,n01737021,1.9150438000000003,8.033526,0.6723076923076923,0.56,0.020080345830365852,0.009354946357991594
59,vine snake,n01739381,2.6027534,8.625237,0.5884615384615385,0.52,0.0490729254979517,0.02649878637409529
60,"night snake, Hypsiglena torquata",n01740131,2.6382542,8.266223,0.4023076923076923,0.24,0.04868515522726972,0.06642833903722249
61,"boa constrictor, Constrictor constrictor",n01742172,2.7448148999999997,8.488163,0.8046153846153846,0.76,0.07168104916802495,0.1160527534092762
62,"rock python, rock snake, Python sebae",n01744401,2.4003763,7.985338700000001,0.5406162464985994,0.3,0.027318805891663016,0.07937560432797
63,"Indian cobra, Naja naja",n01748264,3.9333196000000004,7.8048660000000005,0.8276923076923077,0.74,0.027352222567476117,0.03131009352584442
64,green mamba,n01749939,2.8304224,8.024263000000001,0.7384615384615385,0.36,0.038364786290501635,0.05960575597335265
65,sea snake,n01751748,2.4037453999999996,8.564511,0.7807692307692308,0.58,0.012749465479631078,0.018544874526996862
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",n01753488,3.0194507,9.229324,0.6707692307692308,0.64,0.01049887864502765,0.0188080689344315
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",n01755581,3.136268,9.259642999999999,0.7207692307692307,0.68,0.01248780255085747,0.027385172537742617
68,"sidewinder, horned rattlesnake, Crotalus cerastes",n01756291,0.5954227,3.8141693999999995,0.3323076923076923,0.26,0.01049576702986511,0.008959240498734289
69,trilobite,n01768244,3.1388907,9.334828,0.9053846153846152,0.86,0.021594856514444486,0.028040352485738964
70,"harvestman, daddy longlegs, Phalangium opilio",n01770081,2.6408438999999997,9.671026,0.8507692307692307,0.7,0.036597530039641786,0.05770434030893739
71,scorpion,n01770393,2.9932785,9.207051,0.8261538461538461,0.78,0.047647185684443365,0.056664811797782724
72,"black and gold garden spider, Argiope aurantia",n01773157,2.4578252,6.822209,0.7592307692307693,0.74,0.024938020683562868,0.028995288560663537
73,"barn spider, Araneus cavaticus",n01773549,2.619887,8.44313,0.5076923076923077,0.32,0.011671339779543809,0.018589540491138902
74,"garden spider, Aranea diademata",n01773797,2.6351967,8.735986,0.6253846153846154,0.62,0.017508989407999706,0.02014483910643321
75,"black widow, Latrodectus mactans",n01774384,3.1493710999999998,7.3901906,0.8738461538461538,0.76,0.0271511003521764,0.008922857601428405
76,tarantula,n01774750,2.8720875,9.388595,0.8369230769230769,0.9,0.05671452556096328,0.027725754260641226
77,"wolf spider, hunting spider",n01775062,3.0726132,8.788748,0.85,0.76,0.02927874815150489,0.02570194020522649
78,tick,n01776313,2.7508423,8.667836999999999,0.86,0.76,0.055374463210768735,0.03056331632837328
79,centipede,n01784675,2.8780556,9.339747000000001,0.8861538461538462,0.72,0.03091789096072085,0.02567157172040311
80,black grouse,n01795545,3.5136735,7.780989,0.8730769230769231,0.86,0.004915056520529628,0.004413643665916425
81,ptarmigan,n01796340,3.6108172,8.021497,0.9115384615384616,0.86,0.00860987730697957,0.016440858161085998
82,"ruffed grouse, partridge, Bonasa umbellus",n01797886,3.652651,8.038286,0.5792307692307692,0.78,0.01240167970060552,0.005759053365941328
83,"prairie chicken, prairie grouse, prairie fowl",n01798484,0.48351990000000006,8.230652000000001,0.8838461538461538,0.86,0.008191334820480236,0.003610829269453006
84,peacock,n01806143,2.9024642000000003,8.138376,0.956153846153846,0.88,0.040833778311065966,0.025930784048250645
85,quail,n01806567,3.6308126000000005,8.065050999999999,0.87,0.92,0.01909265351853753,0.015094193115655796
86,partridge,n01807496,3.4793005,7.96457,0.7046153846153846,0.62,0.01670723670636644,0.03558893942841678
87,"African grey, African gray, Psittacus erithacus",n01817953,3.7692193999999994,7.647392999999999,0.95,0.92,0.07071631783590407,0.08890283757995349
88,macaw,n01818515,3.644595,9.95151,0.93,0.88,0.03994981026174799,0.036675243881140886
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",n01819313,3.709293,10.11122,0.9407692307692308,0.82,0.027256400180967776,0.05810921457072255
90,lorikeet,n01820546,3.7226167,10.004957000000001,0.9684615384615384,0.98,0.03421427329848012,0.008674177591292392
91,coucal,n01824575,3.3962653,10.493383999999999,0.8869230769230769,0.84,0.02380337235924997,0.03591403706181154
92,bee eater,n01828970,2.5248737,9.101719000000001,0.9153846153846154,0.86,0.024043665844425282,0.020070729902308813
93,hornbill,n01829413,3.4127902999999997,10.364094999999999,0.8823076923076923,0.82,0.05928701486542851,0.10126610154176888
94,hummingbird,n01833805,2.958224,9.889585,0.9015384615384616,0.94,0.07249213817824153,0.07358805238887726
95,jacamar,n01843065,3.2022727000000004,10.470606,0.92,0.9,0.04229475452520328,0.09429396508980062
96,toucan,n01843383,3.618764,9.754386,0.9176923076923076,0.88,0.08284093955362612,0.11210976149028284
97,drake,n01847000,3.1185067,7.236322400000001,0.9184615384615384,0.8,0.059218093099663235,0.04306324277785279
98,"red-breasted merganser, Mergus serrator",n01855032,3.2360168,10.533239,0.845749342681858,0.82,0.012324643207482387,0.028384429229154195
99,goose,n01855672,3.2274046000000003,7.6711279999999995,0.8407692307692308,0.68,0.039700627987511616,0.04530868264064338
100,"black swan, Cygnus atratus",n01860187,3.1393482999999995,7.3800755,0.953846153846154,0.94,0.02196357888424097,0.009202047199942172
101,tusker,n01871265,4.0833488,9.193611,0.5907692307692308,0.36,0.044713112552872296,0.049481542303255986
102,"echidna, spiny anteater, anteater",n01872401,3.7485573,9.593325,0.916923076923077,0.98,0.02187904797279685,0.016903860521888418
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",n01873310,3.7558258,9.466451,0.835691823899371,0.72,0.020432050156950238,0.024422714106185597
104,"wallaby, brush kangaroo",n01877812,3.9639263,9.244261,0.8284615384615385,0.78,0.057481310337036524,0.049285879420112914
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",n01882714,3.9874787000000005,9.315365,0.9584615384615384,0.88,0.061471141571159765,0.03983664083316398
106,wombat,n01883070,3.9671893,9.328755000000001,0.8653846153846154,0.7,0.05565030345849439,0.1088626537826258
107,jellyfish,n01910747,2.0959852,9.153702000000001,0.9507692307692308,0.88,0.01961075297311055,0.014862008555328432
108,"sea anemone, anemone",n01914609,2.01654,8.828984,0.7315384615384616,0.54,0.02405597464177066,0.032034978449974015
109,brain coral,n01917289,2.0611444,8.544476,0.8261538461538461,0.66,0.011597357042193591,0.008907282774562191
110,"flatworm, platyhelminth",n01924916,2.292757,9.695224000000001,0.7930769230769231,0.76,0.031987886357967336,0.05402418794908954
111,"nematode, nematode worm, roundworm",n01930112,2.324589,9.768334,0.7976923076923077,0.84,0.020752652088575654,0.04995234198393519
112,conch,n01943899,1.6434811000000003,8.991519,0.7915384615384615,0.66,0.08418609403189435,0.11142447054904553
113,snail,n01944390,2.0982912000000002,8.610394,0.7853846153846153,0.7,0.03838338460054457,0.06610935376561883
114,slug,n01945685,2.0991426,8.430313,0.8446153846153847,0.78,0.05758391415515043,0.07127700779579754
115,"sea slug, nudibranch",n01950731,2.099079,8.663041999999999,0.8776923076923077,0.9,0.02632613358548177,0.012961875816481552
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",n01955084,1.3160938999999998,7.959857,0.8769230769230769,0.86,0.012563965003188505,0.011385509144174352
117,"chambered nautilus, pearly nautilus, nautilus",n01968897,2.4457746,5.8142343,0.9446153846153846,0.76,0.021509796570874432,0.03352467157797605
118,"Dungeness crab, Cancer magister",n01978287,1.6817521,9.004925,0.6853846153846154,0.64,0.04938284866159738,0.02495653212652542
119,"rock crab, Cancer irroratus",n01978455,1.82666,8.788453,0.75,0.6,0.030556345009320137,0.017754820333402678
120,fiddler crab,n01980166,1.6961517,8.863070500000001,0.8530769230769231,0.58,0.03139503666530029,0.02807864320834369
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",n01981276,2.0363439999999997,8.681122,0.803076923076923,0.82,0.034372375905799585,0.03620353339368194
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",n01983481,3.9911887999999998,7.459875599999999,0.7276923076923076,0.66,0.07327869068475452,0.05689569824652607
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",n01984695,1.7709327000000001,9.060772,0.8146153846153846,0.74,0.020197504330704174,0.02251127828221797
124,"crayfish, crawfish, crawdad, crawdaddy",n01985128,1.9739721999999997,9.26388,0.6846153846153846,0.6,0.07632593408332322,0.06746377964336718
125,hermit crab,n01986214,1.7621754,8.958032000000001,0.8469230769230769,0.76,0.08593021194711163,0.06215370817001713
126,isopod,n01990800,2.2102847000000003,9.492639,0.7530769230769231,0.5,0.018879503355182216,0.025958049919030373
127,"white stork, Ciconia ciconia",n02002556,3.1081687999999996,7.5051603,0.8738461538461538,0.88,0.015878293352747576,0.02767398801692252
128,"black stork, Ciconia nigra",n02002724,3.1122782000000004,7.4602580000000005,0.8107692307692308,0.62,0.01970767245547129,0.011333636811832548
129,spoonbill,n02006656,3.1447808999999998,10.592563,0.9192307692307692,0.98,0.027967946701640427,0.023586963398229268
130,flamingo,n02007558,3.0077045,8.144311,0.9715384615384616,0.98,0.08996653382996099,0.13473978291422098
131,"little blue heron, Egretta caerulea",n02009229,2.9405327000000003,7.7196364,0.7953846153846154,0.72,0.02933365874527943,0.0325826582614718
132,"American egret, great white heron, Egretta albus",n02009912,3.7945921,7.5632625,0.8723076923076923,0.8,0.022913583132186083,0.02020605614339047
133,bittern,n02011460,3.1828632000000003,10.594156,0.8523076923076923,0.84,0.014740307436078104,0.014772249543518684
134,cranes,n02012849,2.4528205,4.415035,0.7946153846153846,0.64,0.036389392177276415,0.027229354739683912
135,"limpkin, Aramus pictus",n02013706,3.051562,10.546231,0.9,0.96,0.009314656232574344,0.024014764600578928
136,"European gallinule, Porphyrio porphyrio",n02017213,3.8390703,7.4661,0.933076923076923,0.9,0.0494480785293672,0.03148171594060841
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",n02018207,3.8701863,7.525295699999999,0.9307692307692308,0.86,0.02121171811549496,0.012513151615421521
138,bustard,n02018795,3.5069137,10.361680999999999,0.9284615384615384,0.94,0.008686976733261662,0.0062193907504843075
139,"ruddy turnstone, Arenaria interpres",n02025239,3.1779704,10.625250999999999,0.9407692307692308,0.96,0.011244376337183178,0.0076488269673063766
140,"red-backed sandpiper, dunlin, Erolia alpina",n02027492,3.1431607999999995,10.5692215,0.8323076923076923,0.62,0.02888628865717636,0.05064800228816239
141,"redshank, Tringa totanus",n02028035,3.1715376,10.592525,0.9153846153846154,0.92,0.009155262276976084,0.016625498360372148
142,dowitcher,n02033041,3.149514,10.621021,0.9284615384615384,0.9,0.005033012713651487,0.003056427319907016
143,"oystercatcher, oyster catcher",n02037110,3.1859229,10.60003,0.9323076923076924,0.86,0.017290965668771606,0.020817950642358484
144,pelican,n02051845,3.3133574,7.80428,0.8384615384615385,0.84,0.04494575532230312,0.04588595538900336
145,"king penguin, Aptenodytes patagonica",n02056570,2.5808442000000005,7.886951,0.963076923076923,0.86,0.14209393558361316,0.1344468598151434
146,"albatross, mollymawk",n02058221,3.6643027999999997,8.151511,0.8861538461538462,0.88,0.06721077789518498,0.06207209496011274
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",n02066245,3.0733306000000002,7.7588463,0.8460869565217392,0.88,0.00885920189513167,0.004183892866540191
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",n02071294,2.8207762,8.225812,0.9076923076923076,0.94,0.045948202450664034,0.03951748036808568
149,"dugong, Dugong dugon",n02074367,2.1659490000000003,9.168058,0.8792307692307693,0.76,0.020905878524736937,0.035939786884209755
150,sea lion,n02077923,2.9905539,8.309650999999999,0.8307692307692308,0.72,0.0936355079620671,0.17877598334731828
151,Chihuahua,n02085620,5.993960400000001,8.237186,0.6607692307692308,0.46,0.10002002640768162,0.08672508614687104
152,Japanese spaniel,n02085782,6.2047276,7.214339,0.7357512953367875,0.66,0.02899745184789073,0.011846876197378151
153,"Maltese dog, Maltese terrier, Maltese",n02085936,5.6731653,7.9564495,0.8107692307692308,0.64,0.030942630756156917,0.03995831472502005
154,"Pekinese, Pekingese, Peke",n02086079,6.253017,8.483838,0.7730769230769231,0.68,0.05232404108027023,0.0472060065079495
155,Shih-Tzu,n02086240,6.3109074,8.467595,0.7307692307692307,0.7,0.04482813301845634,0.01878146702460072
156,Blenheim spaniel,n02086646,6.701569,7.6364894,0.8369230769230769,0.84,0.04822550712834805,0.03447241120225954
157,papillon,n02086910,6.0434003,8.1557255,0.8453846153846154,0.76,0.04645404231069506,0.0354255175237995
158,toy terrier,n02087046,5.8485413,7.86619,0.6348837209302326,0.52,0.0726168302937874,0.08369901859649871
159,Rhodesian ridgeback,n02087394,6.571807000000001,8.373911999999999,0.6038461538461538,0.58,0.1994594492154313,0.2288844220368628
160,"Afghan hound, Afghan",n02088094,5.7933874,7.943935000000001,0.8176923076923077,0.8,0.062173850289850376,0.06078171665889385
161,"basset, basset hound",n02088238,6.3410316,8.243047,0.8353846153846154,0.86,0.0926976716187385,0.06835750322476088
162,beagle,n02088364,6.349597,8.283363,0.6946153846153846,0.64,0.0915658451888925,0.032483022678825364
163,"bloodhound, sleuthhound",n02088466,6.332225,8.357613,0.74,0.46,0.11740621030313204,0.1588082174102601
164,bluetick,n02088632,6.715522999999999,8.364717500000001,0.8019366197183099,0.82,0.053547807030362916,0.0693933705240488
165,black-and-tan coonhound,n02089078,6.546702,8.206394,0.6366120218579235,0.44,0.06610596830717097,0.1105067274011526
166,"Walker hound, Walker foxhound",n02089867,5.7173395,7.881232300000001,0.6282926829268293,0.66,0.0633251905305234,0.10656720844749544
167,English foxhound,n02089973,6.0262227,7.112635000000001,0.5212201591511937,0.3,0.04648765252141432,0.1277544113647855
168,redbone,n02090379,6.708564,8.304835,0.6379844961240311,0.58,0.15244615324548186,0.22714156474961786
169,"borzoi, Russian wolfhound",n02090622,6.8613029999999995,8.382392999999999,0.8684615384615385,0.98,0.03788285535731103,0.010505114252227941
170,Irish wolfhound,n02090721,6.2206297,7.260620599999999,0.7115384615384616,0.54,0.04111607568884125,0.05116072642856125
171,Italian greyhound,n02091032,5.8805246,7.101235000000001,0.693076923076923,0.82,0.1880487223054761,0.17035607510624687
172,whippet,n02091134,6.639276,8.374633,0.7376923076923076,0.72,0.09152494627524738,0.06214008806160564
173,"Ibizan hound, Ibizan Podenco",n02091244,6.148583,8.172912,0.7946153846153846,0.64,0.12885420009409154,0.18668572033589956
174,"Norwegian elkhound, elkhound",n02091467,6.243852599999999,7.175514999999999,0.8476923076923077,0.84,0.05327412712024528,0.08941664345533354
175,"otterhound, otter hound",n02091635,6.831128,8.415792999999999,0.6937669376693767,0.54,0.01835210711809136,0.02091420461361849
176,"Saluki, gazelle hound",n02091831,6.7598796000000005,8.54283,0.7153846153846154,0.66,0.10227143239337833,0.1424808065605248
177,"Scottish deerhound, deerhound",n02092002,6.148455599999999,7.3431625,0.7461538461538462,0.74,0.03580088858813542,0.028421194121365262
178,Weimaraner,n02092339,6.636971000000001,8.411681,0.8192307692307692,0.88,0.13584951011210444,0.16274166774579502
179,"Staffordshire bullterrier, Staffordshire bull terrier",n02093256,6.1928606,7.552813,0.6007692307692307,0.58,0.07650877580563675,0.1088883196551069
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",n02093428,6.0996537,7.5676394,0.5353846153846153,0.48,0.10022019817182057,0.16568673105328344
181,Bedlington terrier,n02093647,6.5696387000000005,7.8686055999999995,0.90302066772655,0.88,0.03985909104515162,0.05746441149714882
182,Border terrier,n02093754,6.0350437,7.708545,0.7946153846153846,0.74,0.06431002051226442,0.06927118873570294
183,Kerry blue terrier,n02093859,5.795055400000001,7.5114827,0.8381775333857031,0.74,0.0265713678925892,0.01976141237465072
184,Irish terrier,n02093991,6.1719346,7.441728599999999,0.7046153846153846,0.6,0.08177708002717816,0.03145812904282139
185,Norfolk terrier,n02094114,6.332146,7.613882,0.5776923076923077,0.6,0.036026733525661755,0.040101012624166966
186,Norwich terrier,n02094258,6.2533817,7.594612599999999,0.6492307692307693,0.6,0.035720631202584674,0.032894265040786186
187,Yorkshire terrier,n02094433,6.3208470000000005,7.6420354999999995,0.5976923076923077,0.38,0.050856336493775516,0.0649678572097946
188,wire-haired fox terrier,n02095314,6.1832519999999995,7.715189,0.6867963152507677,0.62,0.017572123824392397,0.013066723253507462
189,Lakeland terrier,n02095570,6.3580737,7.6713257,0.6253846153846154,0.62,0.02966460201500555,0.03716180664461717
190,"Sealyham terrier, Sealyham",n02095889,6.5094705,7.865888000000001,0.7564102564102564,0.7,0.01487712219962049,0.0350681941627181
191,"Airedale, Airedale terrier",n02096051,6.449767,7.7570953,0.8846153846153846,0.88,0.03971014583768513,0.033652909819875274
192,"cairn, cairn terrier",n02096177,6.3870234,7.545724400000001,0.72,0.68,0.050339835375461696,0.026075403994800583
193,Australian terrier,n02096294,6.0467596,7.5590982,0.6461538461538462,0.42,0.0367256086813303,0.03272355162658641
194,"Dandie Dinmont, Dandie Dinmont terrier",n02096437,6.4608617,7.805018,0.8295847750865052,0.8,0.011055546227763613,0.02046250965804802
195,"Boston bull, Boston terrier",n02096585,5.4475303,7.4692507,0.803076923076923,0.76,0.09555238840519256,0.09382106344206476
196,miniature schnauzer,n02097047,5.740707,8.065373,0.62,0.54,0.047329090910471584,0.05589894448542452
197,giant schnauzer,n02097130,5.589395,8.092053,0.7523076923076923,0.78,0.03976785807147727,0.0488069773391635
198,standard schnauzer,n02097209,5.7306585,8.021623,0.6292307692307693,0.64,0.03739336998788805,0.034348786161208414
199,"Scotch terrier, Scottish terrier, Scottie",n02097298,6.204265,7.6510243000000004,0.84,0.74,0.046592364698489465,0.053175411454649296
200,"Tibetan terrier, chrysanthemum dog",n02097474,5.982489,7.682233,0.5769230769230769,0.46,0.019536732620343385,0.021819048698816915
201,"silky terrier, Sydney silky",n02097658,6.182417,7.7548737999999995,0.6723076923076923,0.56,0.04367868681484704,0.07494883466635656
202,soft-coated wheaten terrier,n02098105,6.446676,7.851874400000001,0.7161538461538461,0.42,0.05032364820846196,0.030632498774630226
203,West Highland white terrier,n02098286,5.6221666,7.403722,0.8446153846153847,0.82,0.039723007599216174,0.03264658187582881
204,"Lhasa, Lhasa apso",n02098413,5.886891,7.778733,0.5592307692307692,0.54,0.03628638751632707,0.020722671369883303
205,flat-coated retriever,n02099267,6.898455599999999,7.8841224,0.7284615384615385,0.6,0.035935078105323315,0.05815365293492732
206,curly-coated retriever,n02099429,6.85106,7.834136999999999,0.7717569786535303,0.72,0.04002244458312067,0.013139888660844009
207,golden retriever,n02099601,6.840957,7.7528877000000005,0.6776923076923077,0.66,0.049719252396979136,0.10766290811593536
208,Labrador retriever,n02099712,6.835789999999999,7.8368535,0.6184615384615385,0.68,0.06817422361536077,0.07763503889595995
209,Chesapeake Bay retriever,n02099849,6.827252400000001,7.655416000000001,0.8215384615384616,0.84,0.09040307895425136,0.14190538120972632
210,German short-haired pointer,n02100236,6.0376325,7.178045299999999,0.8346153846153846,0.74,0.035428393278665614,0.03754398722328915
211,"vizsla, Hungarian pointer",n02100583,6.7630367,8.446685,0.8276923076923077,0.82,0.2174552732308172,0.11892902960957145
212,English setter,n02100735,6.1166352999999996,7.009409,0.77,0.62,0.036379878392232674,0.054387802710061814
213,"Irish setter, red setter",n02100877,6.165728,7.1125755,0.8723076923076923,0.78,0.06539856260599405,0.0922691631093403
214,Gordon setter,n02101006,6.135211,7.143693400000001,0.8723076923076923,0.82,0.04109995272671063,0.028365341514436294
215,Brittany spaniel,n02101388,6.6235285,7.471191999999999,0.7253846153846154,0.8,0.043357978064896975,0.07991217531565781
216,"clumber, clumber spaniel",n02101556,6.7600293,7.692404,0.8423076923076923,0.82,0.0250573608651456,0.013379032416844438
217,"English springer, English springer spaniel",n02102040,6.1296735,7.047494,0.8569230769230769,0.92,0.04354307961852424,0.027924267171074463
