class_ind,class_name,n_images
468,acoustic_nerve,308
469,acoustic_phenomenon,171
470,acoustic_projection,389
471,acoustic_radiation_pressure,52
472,acoustic_reactance,7
473,acoustic_resistance,322
474,acoustic_storage,353
475,acoustician,297
476,acoustics,1978
477,acquaintance,2027
478,acquired_reflex,23
479,acquirer,1061
480,acragas,253
481,acre,2293
482,acres,2266
483,acridid,50
484,acridotheres_tristis,447
485,acrilan,416
486,acris_crepitans,335
487,acris_gryllus,140
488,acrobat,2589
489,acrocarp,17
490,acrocarpous_moss,25
491,acrocarpus_fraxinifolius,431
492,acrocentric_chromosome,46
493,acrocephalus_schoenobaenus,536
494,acroclinium_roseum,42
495,acrocomia_aculeata,172
496,acrocomia_vinifera,15
497,acrodont,27
498,acrogen,20
499,acrolein,633
500,acromial_process,24
501,acromion,1048
502,acropolis,2361
503,acrosome,716
504,acrostichum_aureum,114
505,acrylamide,1167
506,acrylate,1356
507,acrylate_resin,246
508,acrylic,2514
509,acrylic_acid,1326
510,acrylic_fiber,1334
511,acrylic_paint,1654
512,acrylic_resin,1651
513,acrylonitrile,954
514,acrylonitrile-butadiene-styrene,371
515,actaea_alba,104
516,actaea_rubra,502
517,acth,1302
518,actias_luna,844
519,actifed,350
520,actin,1771
521,acting,2036
522,actinia,953
523,actinian,10
524,actiniarian,2
525,actinic_radiation,45
526,actinic_ray,7
527,actinidia_arguta,411
528,actinidia_chinensis,525
529,actinidia_deliciosa,242
530,actinidia_polygama,174
531,actinium,555
532,actinolite,1086
533,actinomeris_alternifolia,50
534,actinometer,65
535,actinomyces,518
536,actinomycete,152
537,actinomycin,241
538,actinomyxidian,0
539,actinopod,17
540,actinozoa,29
541,actinozoan,0
542,action,2640
543,action_mechanism,1463
544,action_officer,1881
545,action_plant,1473
546,actitis_hypoleucos,679
547,actitis_macularia,539
548,actium,1087
549,activase,152
550,activated_carbon,1397
551,activated_charcoal,1286
552,activating_agent,112
553,activation,1474
554,activation_energy,1206
555,activator,1686
556,active,2191
557,active_agent,1179
558,active_birth,1004
559,active_citizen,1107
560,active_matrix_screen,788
561,active_placebo,137
562,active_site,1395
563,active_transport,1268
564,activewear,1446
565,activism,1906
566,activist,1777
567,activity,2229
568,actomyosin,113
569,actor,2139
570,actors_agent,1133
571,actors_assistant,343
572,actress,2082
573,actuary,1738
574,actuator,1684
575,acular,398
576,aculea,28
577,aculeus,635
578,acumen,1655
579,acuminate_leaf,197
580,acute_angle,1340
581,acyclovir,1044
582,acyl,1377
583,acyl_anhydrides,68
584,acyl_group,170
585,acyl_halide,81
586,acylation,652
587,acylglycerol,72
588,ada,2393
589,adad,1815
590,adagio,2168
591,adalia,1292
592,adalia_bipunctata,656
593,adam,2707
594,adam-and-eve,1617
595,adam_baldwin,1724
596,adam_brody,1659
597,adam_lake,1934
598,adam_smith,2150
599,adam_west,1902
600,adam_wylie,764
601,adamant,1683
602,adamari_lpez,17
603,adams,2183
604,adams_apple,1753
605,adams_needle,253
606,adams_needle-and-thread,0
607,adams_peak,1430
608,adana,1980
609,adansonia_digitata,980
610,adansonia_gregorii,58
611,adapa,312
612,adapin,37
613,adaptation,1496
614,adapter,2970
615,adaption,1626
616,adaptive_radiation,570
617,adaptor,2137
618,add-in,1657
619,add-on,2377
620,addax,1176
621,addax_nasomaculatus,173
622,adder,1536
623,adders_fern,99
624,adders_tongue,367
625,adders_tongue_fern,88
626,addict,1993
627,adding_machine,1292
628,addis_ababa,2203
629,addition,2097
630,addition_reaction,1305
631,additive,1932
632,addle-head,26
633,addlehead,19
634,address,2171
635,addressee,1417
636,addressing_machine,491
637,addressograph,757
638,adducer,1
639,adduct,1057
640,adductor,1162
641,adductor_muscle,509
642,ade,2341
643,adelaide,2209
644,adele_jergens,595
645,adele_mara,585
646,adelges_abietis,55
647,adelges_piceae,123
648,adelgid,1034
649,adelie,1806
650,adelie_coast,103
651,adelie_land,187
652,adelie_penguin,1232
653,adeline_virginia_stephen_woolf,117
654,aden,2464
655,adenanthera_pavonina,102
656,adenauer,1255
657,adenine,1471
658,adenium_multiflorum,149
659,adenium_obesum,1170
660,adenohypophysis,167
661,adenoid,972
662,adenosine,1312
663,adenosine_deaminase,299
664,adenosine_diphosphate,161
665,adenosine_monophosphate,362
666,adenosine_triphosphate,719
667,adenota_vardoni,1
668,adenovirus,1163
669,adenylic_acid,43
670,adept,1501
671,ader_wax,1
672,adermin,17
673,adh,2036
674,adherent,2026
675,adhesion,1995
676,adhesive,1741
677,adhesive_agent,407
678,adhesive_bandage,1306
679,adhesive_friction,184
680,adhesive_material,1272
681,adhesive_plaster,764
682,adhesive_tape,1364
683,adiabatic_process,228
684,adiantum_bellum,2
685,adiantum_capillus-veneris,450
686,adiantum_pedatum,994
687,adiantum_tenerum,91
688,adiantum_tenerum_farleyense,13
689,adige,2034
690,adipic_acid,305
691,adipose_cell,166
692,adipose_tissue,1325
693,adirondack_mountains,1987
694,adirondacks,1913
695,adit,1525
696,aditi,1930
697,aditya,2389
698,adjoining_room,1574
699,adjudicator,1466
700,adjunct,1549
701,adjustable_spanner,1028
702,adjustable_wrench,1415
703,adjuster,1437
704,adjustment,1633
705,adjustor,901
706,adjutant,1476
707,adjutant_bird,70
708,adjutant_general,1690
709,adjutant_stork,136
710,adjuvant,1493
711,adlai_ewing_stevenson,60
712,adlai_stevenson,1245
713,adlumia_fungosa,99
714,adman,1802
715,administrative_data_processing,311
716,administrative_district,1274
717,administrative_division,1195
718,administrative_official,910
719,administrator,2055
720,admiral,2574
721,admiral_byrd,1033
722,admiral_dewey,801
723,admiral_nelson,1300
724,admiral_nimitz,1007
725,admiralty_brass,111
726,admiralty_island,1223
727,admiralty_islands,1153
728,admiralty_metal,46
729,admiralty_range,91
730,admirer,1905
731,admittance,1735
732,admixture,1234
733,admonisher,57
734,adnexa,578
735,adobe,2033
736,adobe_brick,1029
737,adobe_house,1627
738,adobe_lily,268
739,adobo,1528
740,adolescent,1697
741,adolf_eichmann,922
742,adolf_hitler,1746
743,adolf_loos,1173
744,adolf_windaus,52
745,adolfo_celi,963
746,adolph_simon_ochs,9
747,adolphe_menjou,1014
748,adolphe_sax,946
749,adonis,1933
750,adonis_annua,157
751,adoptee,1545
752,adopter,2122
753,adoptive_parent,1110
754,adorer,1331
755,adornment,2054
756,adp,2252
757,adp_system,623
758,adps,1073
759,adrenal,1415
760,adrenal_cortex,899
761,adrenal_cortical_steroid,5
762,adrenal_gland,1357
763,adrenal_medulla,548
764,adrenalin,1922
765,adrenaline,2488
766,adrenergic,1213
767,adrenergic_drug,224
768,adrenocorticotrophic_hormone,40
769,adrenocorticotrophin,23
770,adrenocorticotropic_hormone,80
771,adrenocorticotropin,41
772,adrenosterone,5
773,adrian,2185
774,adrian_lester,1026
775,adrian_paul,1703
776,adriano_celentano,1606
777,adrianople,329
778,adrianopolis,300
779,adriatic,2605
780,adriatic_sea,1776
781,adrien_brody,1677
782,adrienne_ames,541
783,adrienne_corri,650
784,adsorbate,430
785,adsorbent,1091
786,adsorbent_material,57
787,adsorption,1424
788,adsuki_bean,3
789,adulator,72
790,adult,2230
791,adult_body,1688
792,adult_female,1958
793,adult_female_body,941
794,adult_male,1963
795,adult_male_body,767
796,adult_tooth,681
797,adulterant,280
798,adulterator,103
799,adulterer,435
800,adulteress,445
801,adultery,1492
802,adumbration,109
803,advancer,1475
804,advection,1356
805,adventism,1086
806,adventist,1979
807,adventitia,628
808,adventitious_root,224
809,adventurer,1936
810,adventuress,1203
811,adversary,1358
812,adverse_witness,22
813,advertiser,1587
814,advertizer,758
815,advil,1333
816,advisee,902
817,adviser,2040
818,advisor,2115
819,advocate,2375
820,advocator,281
821,advowson,46
822,adz,1950
823,adze,1618
824,adzhar,204
825,adzharia,187
826,adzuki_bean,237
827,aeciospore,35
828,aecium,64
829,aedes_aegypti,1072
830,aedes_albopictus,692
831,aegadean_islands,4
832,aegadean_isles,0
833,aegates,60
834,aegean,2515
835,aegean_island,1890
836,aegean_sea,2180
837,aegiceras_majus,0
838,aegilops_triuncalis,3
839,aegina,2228
840,aegis,1790
841,aegospotami,10
842,aegospotamos,1
843,aegypiidae,4
844,aegypius_monachus,513
845,aegyptopithecus,94
846,aelfred,114
847,aelius_donatus,23
848,aeneas_silvius,47
849,aengus,1897
850,aeolia,239
851,aeolian,1714
852,aeolian_harp,500
853,aeolian_lyre,11
854,aeolis,846
855,aeolus,1613
856,aeon,1464
857,aeonium_haworthii,163
858,aepyceros_melampus,617
859,aepyornis,361
860,aeration,1679
861,aerator,1324
862,aerial,2216
863,aerial_ladder,1454
864,aerial_ladder_truck,1143
865,aerial_torpedo,276
866,aerial_tramway,1477
867,aerialist,1305
868,aerides,1435
869,aerie,1383
870,aerobe,1121
871,aerobiosis,15
872,aerodrome,2114
873,aerodynamic_force,390
874,aerodynamic_lift,583
875,aerodynamics,1493
876,aerofoil,1161
877,aerogenerator,73
878,aerogram,395
879,aerogramme,1137
880,aerolite,1436
881,aerology,283
882,aeromechanics,131
883,aeromedicine,87
884,aeronaut,1402
885,aeronautical_engineer,1050
886,aeronautical_engineering,1218
887,aeronautics,2099
888,aerophagia,30
889,aerophile,724
890,aerophyte,15
891,aeroplane,1895
892,aerosol,2324
893,aerosol_bomb,117
894,aerosol_can,1424
895,aerosol_container,323
896,aerospace,2567
897,aerospace_engineer,1329
898,aerospace_medicine,1080
899,aertex,362
900,aery,1176
901,aeschylus,1190
902,aeschynanthus,789
903,aeschynanthus_radicans,156
904,aesculapius,981
905,aesculus_hippocastanum,1214
906,aesir,1116
907,aesop,1798
908,aesthete,1621
909,aesthetic,1934
910,aesthetician,1309
911,aesthetics,2152
912,aether,1453
913,aethusa_cynapium,273
914,aetiologist,0
915,aetiology,876
916,aetobatus_narinari,400
917,afars_and_issas,306
918,affenpinscher,1041
919,afferent,1354
920,afferent_nerve,153
921,afferent_neuron,110
922,affiant,81
923,affiliate,2388
924,affine,1327
925,affine_geometry,225
926,affinity,1994
927,affirmed,1287
928,affirmer,1422
929,afflatus,477
930,affluent,1344
931,afghan,2699
932,afghan_hound,1950
933,afghanistan,2005
934,afghanistani,295
935,aficionado,1812
936,aflatoxin,1219
937,aflaxen,1
938,afp,2384
939,aframomum_melegueta,36
940,africa,2641
941,african,2213
942,african-american,2104
943,african_american,2743
944,african_bowstring_hemp,1
945,african_chameleon,477
946,african_clawed_frog,750
947,african_coral_snake,32
948,african_country,1595
949,african_crocodile,1185
950,african_daisy,1949
951,african_elephant,1875
952,african_gray,1759
953,african_green_monkey,237
954,african_grey,2233
955,african_hemp,276
956,african_holly,498
957,african_hunting_dog,444
958,african_lily,1435
959,african_love_grass,79
960,african_mahogany,1211
961,african_marigold,548
962,african_millet,161
963,african_monitor,585
964,african_nation,1480
965,african_oil_palm,288
966,african_sandalwood,125
967,african_scented_mahogany,0
968,african_tea,1435
969,african_tulip,850
970,african_violet,2259
971,african_walnut,870
972,african_wild_ass,144
973,african_yellowwood,105
974,africander,74
975,africanized_bee,913
976,africanized_honey_bee,489
977,afrikander,154
978,afrikaner,1438
979,afro,2104
980,afro-american,1860
981,afro-wig,989
982,afro_hairdo,141
983,afrocarpus_falcata,12
984,afropavo,100
985,afropavo_congensis,79
986,after-shave,2132
987,after-shave_lotion,1043
988,after_part,2130
989,afterbirth,1116
990,afterburner,2256
991,afterdamp,50
992,afterdeck,790
993,aftereffect,873
994,afterglow,1716
995,afterimage,1112
996,aftermath,2037
997,afternoon_tea,1912
998,afterpiece,25
999,afters,1902
1000,aftersensation,6
1001,aftershaft,36
1002,aftershock,1377
1003,aftertaste,1372
1004,afterthought,1656
1005,ag,2266
1006,agal,1538
1007,agama,1423
1008,agamete,2
1009,agamid,645
1010,agamid_lizard,87
1011,agamogenesis,2
1012,agapanthus,2149
1013,agapanthus_africanus,706
1014,agar,1739
1015,agar-agar,1435
1016,agaric,1854
1017,agaricus_arvensis,476
1018,agaricus_campestris,608
1019,agassiz,2270
1020,agastache_foeniculum,735
1021,agastache_mexicana,97
1022,agastache_nepetoides,102
1023,agate,2516
1024,agateware,290
1025,agatha_christie,1467
1026,agathis_alba,7
1027,agathis_australis,228
1028,agathis_dammara,46
1029,agathis_lanceolata,20
1030,agathis_robusta,110
1031,agave,2555
1032,agave_americana,1310
1033,agave_atrovirens,52
1034,agave_cantala,15
1035,agave_sisalana,307
1036,agave_tequilana,211
1037,agdistis,55
1038,agee,1330
1039,ageing,1657
1040,agelaius_phoeniceus,1096
1041,agenda,2205
1042,agene,808
1043,agenesia,498
1044,agenesis,751
1045,agent,2139
1046,agent-in-place,275
1047,agent_orange,1769
1048,agent_provocateur,1412
1049,ageratina_altissima,80
1050,ageratum,1275
1051,ageratum_houstonianum,832
1052,aggeus,27
1053,agglomerate,1188
1054,agglomerator,370
1055,agglutinating_activity,1
1056,agglutination,1151
1057,agglutinin,264
1058,agglutinogen,8
1059,aggravator,175
1060,aggregate,1789
1061,aggregate_fruit,296
1062,aggregator,1794
1063,aggressor,1478
1064,aging,2037
1065,agitator,1201
1066,agkistrodon_contortrix,867
1067,agkistrodon_piscivorus,591
1068,aglaia,1233
1069,aglaomorpha_meyeniana,23
1070,aglaonema_modestum,82
1071,aglet,873
1072,agnail,13
1073,agnate,45
1074,agnathan,65
1075,agnes_ayres,544
1076,agnes_de_mille,482
1077,agnes_george_de_mille,41
1078,agnes_gonxha_bojaxhiu,206
1079,agnes_moorehead,1306
1080,agni,1638
1081,agnostic,1672
1082,agnosticism,891
1083,agonic_line,9
1084,agonist,1545
1085,agonus_cataphractus,101
1086,agony_aunt,1042
1087,agony_column,893
1088,agora,1860
1089,agostina_belli,588
1090,agouti,1864
1091,agra,2800
1092,agricola,1544
1093,agricultural_agent,993
1094,agricultural_laborer,202
1095,agricultural_labourer,177
1096,agriculturalist,479
1097,agriculture_secretary,1367
1098,agriculturist,1143
1099,agrigento,2053
1100,agrimonia,1086
1101,agrimonia_eupatoria,993
1102,agrimonia_procera,120
1103,agrimony,1159
1104,agriocharis_ocellata,71
1105,agrippa,1296
1106,agrippina,1183
1107,agrippina_the_elder,77
1108,agrippina_the_younger,125
1109,agrobiology,122
1110,agrology,97
1111,agronomist,1039
1112,agronomy,1299
1113,agropyron_cristatum,171
1114,agropyron_intermedium,34
1115,agropyron_pauciflorum,5
1116,agropyron_repens,400
1117,agropyron_smithii,78
1118,agropyron_subsecundum,7
1119,agropyron_trachycaulum,23
1120,agrostemma_githago,623
1121,agrostis_alba,84
1122,agrostis_canina,84
1123,agrostis_nebulosa,26
1124,agrostis_palustris,62
1125,agua,2375
1126,agua_toad,5
1127,aguacate,1581
1128,ague_grass,14
1129,ague_root,16
1130,ague_weed,12
1131,agueweed,29
1132,agust_von_wassermann,0
1133,ahab,1748
1134,ahimsa,1370
1135,ahmad_shah_masoud,69
1136,ahmed_salman_rushdie,36
1137,ahmed_zoki_yamani,0
1138,ahriman,1063
1139,ahuehuete,266
1140,ahura,1131
1141,ahura_mazda,948
1142,ahvenanmaa,1182
1143,ai,2239
1144,aid_station,1341
1145,aidan_quinn,1581
1146,aide,2665
1147,aide-de-camp,1025
1148,aides,1632
1149,aidoneus,60
1150,aigina,1391
1151,aiglet,192
1152,aigret,154
1153,aigrette,1719
1154,aiguilette,55
1155,aiken,1968
1156,ail,1661
1157,ailanthus,1176
1158,ailanthus_altissima,1091
1159,ailanthus_silkworm,2
1160,aileen_pringle,511
1161,aileron,1428
1162,ailey,1515
1163,ailuropoda_melanoleuca,945
1164,ailurus_fulgens,694
1165,aim,2598
1166,aimee_semple_mcpherson,469
1167,aioli,1429
1168,aioli_sauce,408
1169,air,3127
1170,air-intake,1572
1171,air-raid_shelter,1114
1172,air-to-air_missile,1158
1173,air-to-ground_missile,182
1174,air-to-surface_missile,528
1175,air_attache,867
1176,air_bag,1999
1177,air_base,2000
1178,air_bladder,772
1179,air_cell,1728
1180,air_cleaner,1558
1181,air_compressor,1869
1182,air_conditioner,2080
1183,air_conditioning,1991
1184,air_current,1387
1185,air_cushion,1860
1186,air_duct,1462
1187,air_filter,1925
1188,air_force_officer,1883
1189,air_gas,1322
1190,air_gun,1389
1191,air_hammer,1362
1192,air_hole,1793
1193,air_horn,1724
1194,air_hose,1493
1195,air_hostess,1164
1196,air_jacket,1327
1197,air_lane,1377
1198,air_letter,1505
1199,air_lock,1844
1200,air_marshal,1318
1201,air_mass,1394
1202,air_mattress,1454
1203,air_passage,1308
1204,air_plant,2115
1205,air_pocket,1425
1206,air_potato,1022
1207,air_pressure,1972
1208,air_pump,2013
1209,air_rifle,1487
1210,air_sac,1246
1211,air_search_radar,1054
1212,air_shaft,1534
1213,air_space,2276
1214,air_spring,1520
1215,air_station,1911
1216,air_terminal,1712
1217,air_thermometer,1015
1218,air_transportation_system,836
1219,air_traveler,1184
1220,air_traveller,969
1221,air_well,2200
1222,airborne_transmission,279
1223,airbrake,1186
1224,airbrush,2561
1225,airbus,2044
1226,aircraft,2189
1227,aircraft_carrier,1822
1228,aircraft_engine,1452
1229,aircraftman,571
1230,aircraftsman,284
1231,aircrewman,596
1232,airdock,233
1233,airdrome,935
1234,aire,2118
1235,aire_river,1290
1236,airedale,2337
1237,airedale_terrier,1598
1238,airfield,2231
1239,airfoil,1489
1240,airframe,1486
1241,airgun,1572
1242,airhead,1872
1243,airing_cupboard,1192
1244,airline,2077
1245,airliner,1888
1246,airlock,1372
