,mean_top1_train,mean_top1_val,mean_top5_train,mean_top5_val,pred_train,pred_val
n02500267,0.79,0.9,0.9569230769230769,1.0,[384 384 384 ... 334 384 384],"[384 384 384 384 384 384 384 384 375 384 384 384 384 384 384 384 384 384
 384 384 384 384 384 384 384 368 384 384 384 384 384 384 384 384 384 384
 384 384  89 384 384 384 388 384 384 383 384 384 384 384]"
n02098105,0.7876923076923077,0.6,0.9346153846153846,0.96,[202 182 703 ... 202 202 247],"[202 184 202 202 226 189 202 202 202 202 184 182 189 203 202 204 202 202
 202 202 202 202 202 202 202 184 202 184 202 202 182 202 194 182 189 202
 202 202 184 202 194 226 202 202 184 202 202 202 184 266]"
n03393912,0.8946153846153846,0.98,0.9823076923076923,0.98,[565 565 565 ... 565 565 565],"[565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565
 565 565 565 565 565 565 565 565 829 565 565 565 565 565 565 565 565 565
 565 565 565 565 565 565 565 565 565 565 565 565 565 565]"
n02971356,0.7646153846153846,0.5,0.9153846153846154,0.82,[478 478 478 ... 478 478 478],"[519 478 478 478 478 478 446 478 478 435 859 478 641 478 896 478 478 478
 478 478 492 478 478 492 478 478 921 419 478 795 787 910 478 478 478 786
 637 516 186 519 154 519 478 588 873 478 786 770 434 478]"
n02526121,0.7725321888412017,0.52,0.9527896995708155,0.82,[390 150 390 ... 390 390 390],"[390 390 390 397 390 329  65  33 329 390  58 390 499 390 390 390 390 390
 390 390 973  58 390 390 390  65 390  58 467 390 397 397 390 390 397 390
 390   6 973 390  65  65 121  40 390  65 390 390 428 115]"
n02497673,0.9184615384615384,0.7,0.9676923076923077,0.92,[383 383 383 ... 383 383 383],"[383 362 383 383 383 383 383 383 383 383 383 383 448 383 384 383 383 383
 383 384 384 384 383 383 383 280 383 383 383 383 384 383 384 383 383 383
 383 383 384 383 383 383 383 853 383 383 104 384 384 381]"
n02009229,0.8846153846153846,0.88,0.9807692307692307,0.98,[131 131 131 ... 131 131 131],"[131 131 131 131 131 131 131 131 134 131 132 131 131 133 131 131 131 131
 131 131  85 131 131 131 131 131 131 131 131 131 131 131  93 131 131 131
 131 131 131  17 131 131 131 131 131 131 131 131 131 131]"
n01855032,0.908851884312007,0.88,0.9815950920245399,0.94,[ 98  98  98 ... 145  97  98],"[ 98  98  98  98  98  98  98  98  98  98 141  98  98  98  98  98  99 143
  98  98  98  98  98  98  98  98  98  98  98  98  98  98 137  98  98  98
  98  98  98  98 140  98  98  98  98  98  98  98 141  98]"
n02317335,0.9046153846153846,0.82,0.9569230769230769,0.9,[327 327 327 ... 327 973 327],"[327 327 327 327 327 327 327 327 327 327 327 975 327 112 327 110 327 327
 327 327 327 107 327 327 327 327 973 327 327 327 327 108 327 327 327 327
 327 327  76 327 327 327 327 714 327 327 979 327 327 327]"
n02114367,0.7607692307692308,0.82,0.9707692307692307,0.98,[269 271 269 ... 272 270 269],"[269 537 270 269 227 269 269 269 269 269 269 269 269 269 269 269 272 272
 269 269 249 269 269 269 269 269 269 269 269 269 269 269 269 224 269 269
 269 269 269 269 269 269 269 270 269 269 269 269 347 269]"
n03793489,0.6838461538461539,0.4,0.9276923076923077,0.86,[600 754 673 ... 673 673 673],"[749 704 527 891 673 673 673 697 673 674 508 673 823 526 673 508 673 673
 673 673 613 673 918 527 527 849 673 664 673 681 673 673 673 527 527 893
 785 722 613 527 673 259 508 527 673 673 527 527 673 896]"
n07747607,0.7423076923076923,0.64,0.9676923076923077,0.86,[950 582 950 ... 951 951 950],"[950 641 951 415 950 950 582 950 911 950 950 950 950 950 950 950 950 950
 950 951 950 415 951 950 951 950 950 950 950 950 987 950 950 950 950 950
 951 950 951 989 927 950 813 950 950 951 950 950 949 990]"
n12768682,0.8992307692307693,0.86,0.9684615384615385,0.94,[990 990 990 ... 990 990 990],"[990 990 990 990 990 990 990 990 946 990 990 990 116 990 990 990 990 956
 990 988 990 956 990 990 990 990 990 990 990 990 990 990 990 990 990 990
 327 990 990 990 990 990 990 990 990 990 990 990 990 306]"
n01496331,0.7415384615384616,0.68,0.9546153846153846,0.9,[6 5 5 ... 5 5 5],"[  5 406   5   5   6   5   5   6   5   5   5   5   5   5   3   5   5   5
   1   5   5 329   6   6   5 150   5   6   5   3   5   5   5   5   5   5
  33   5 684   5   5   5   5   5   6   6  28   5   5   5]"
n02509815,0.9623076923076923,0.94,0.9884615384615385,0.98,[387 387 387 ... 387 387 387],"[387 387 299 387 387 387 387 387 387 388 387 387 387 387 387 387 387 387
 388 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387
 387 387 387 387 387 387 387 387 387 387 387 387 387 387]"
n07753113,0.8869230769230769,0.76,0.9661538461538461,0.88,[952 952 952 ... 952 952 952],"[957 952 952 952 952 952 952 768 952 868 952 952 952 952 956 950 952 943
 952 952 952 952 952 988 956 957 952 990 952 940 952 952 952 952 952 952
 952 952 952 952 952 952  90 952 952 952 952 952 952 952]"
n03617480,0.8407692307692308,0.76,0.9376923076923077,0.98,[877 614 614 ... 614 614 614],"[614 982 614 614 697 614 614 614 614 614 614 614 614 614 614 614 614 614
 614 614 614 614 614 614 614 614 614 982 614 614 879 614 887 894 577 614
 614 665 614 614 578 645 879 789 614 614 614 614 614 614]"
n01955084,0.8953846153846153,0.86,0.9746153846153847,0.96,[116 116 116 ... 116 116 116],"[116 116 116 327 116 116 116 116 116 116 116 116 116 116 329 116 116 113
 116 116 116 116 116 116 327 116 956 116 116 116 116 116 116 116 116  69
 116 116 116 116 116 116 116 116 116 116 116 964 116 116]"
n09399592,0.7515384615384615,0.52,0.9753846153846154,0.96,[976 976 976 ... 980 976 976],"[976 976 972 437 976 975 972 976 976 980 976 975 977 976 976 976 972 976
 483 972 460 460 976 976 978 976 437 976 980 976 976 976 976 460 976 976
 976 977 483 976 437 460 976 972 976 979 978 972 976 976]"
n07930864,0.5707692307692308,0.32,0.9161538461538462,0.74,[505 968 504 ... 968 968 415],"[968 809 967 968 968 412 968 441 893 968 968 968 968 504 666 923 504 828
 883 968 968 504 968 865 504 968 967 572 504 725 659 725 968 659 968 659
 899 679 969 504 659 940 968 441 922 928 746 968 518 463]"
n01990800,0.8307692307692308,0.6,0.9353846153846154,0.76,[ 71 126 126 ... 126 126 126],"[126 329  71 126 126 126 126 712 107 790 307 327 126 984 126  77 126 126
 126 126 126 314 126 126 126 961 304 117 126 126 126 419 314 126 126 327
 126 126 126 126 126 126 126 415 126 126 126 783 658 310]"
n02123597,0.926923076923077,0.96,0.97,1.0,[284 284 284 ... 284 284 284],"[284 284 284 284 284 281 284 284 284 284 284 284 284 284 284 284 284 284
 284 284 284 284 284 284 284 284 284 284 284 284 284 284 284 284 284 284
 284 284 284 284 284 284 284 284 284 284 284 284 285 284]"
n04509417,0.8046153846153846,0.82,0.9423076923076923,0.94,[880 880 880 ... 880 880 880],"[880 665 880 880 880 880 880 880 880 880 880 880 880 880 972 880 880 880
 880 880 880 880 665 515 880 880 880 880 880 880 880 830 788 880 610 880
 880 880 880 880 702 880 880 880 884 880 880 880 880 880]"
n04239074,0.6407692307692308,0.46,0.9230769230769231,0.72,[799 799 799 ... 799 799 706],"[807 799 894 799 894 874 542 799 656 872 490 706 453 799 799 539 799 495
 799 905 799 506 799 480 799 799 799 799 655 656 799 799 799 743 799 799
 799 799 894 564 706 799 779 436 747 867 799 564 799 648]"
n03777568,0.9423076923076923,0.96,0.9846153846153847,1.0,[661 661 661 ... 661 661 661],"[661 661 661 856 661 661 661 661 661 661 661 661 661 661 661 575 661 661
 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661
 661 661 661 661 661 661 661 661 661 661 661 661 661 661]"
n02692877,0.9538461538461539,0.84,0.9784615384615385,0.92,[405 586 405 ... 405 405 405],"[405 405 405 405 405 405 517 405 405 405 625 405 405 405 405 405 405 405
 405 405 405 405 405 405 405 405 405 405 405 405 405 405 839 405 405 405
 405 405 895 404 920 405 718 405 405 417 405 405 405 405]"
n01532829,0.9176923076923077,0.86,0.97,0.94,[85 12 12 ... 12 12 12],"[ 12 677  12  12  12  12  11  12  12  12  12  12  14  12  12  15  12  21
  12  12  12  12  12  12  12  12  12  13  12  12  12  12  12  12  21  12
  12  12  12  12  12  12  12  12  12  12  12  12  12  12]"
n02120505,0.7653846153846153,0.74,0.9461538461538461,0.92,[280 280 280 ... 272 280 280],"[280 280 280 280 278 280 280 272 280 280 272 272 280 277 271 280 280 280
 280 280 280 280 280 280 280 280 280 280 280 280 277 280 280 277 280 280
 349 280 350 280 280 280 371 280 280 280 280 280 348 272]"
n04310018,0.9746153846153847,0.94,0.9938461538461538,0.94,[820 820 820 ... 820 820 820],"[820 820 820 820 820 820 820 820 974 733 820 820 820 820 820 820 556 820
 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820
 820 820 820 820 820 820 820 820 820 820 820 820 820 820]"
n02091134,0.7423076923076923,0.76,0.9315384615384615,0.92,[332 208 172 ... 172 173 172],"[172 172 172 172 172 171 172 172 172 238 172 172 172 172 338 172 172 172
 172 172 173 172 172 172 172 172 172 172 172 172 172 176 176 172 172 172
 172 246 172 172 172 172 172 172 158 253 254 172 227 169]"
n03590841,0.9638461538461538,0.94,0.9838461538461538,0.98,[607 722 607 ... 607 607 607],"[607 607 607 607 607 607 607 607 530 607 607 607 607 607 607 607 619 607
 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607
 607 607 607 497 607 607 607 607 607 607 607 607 607 607]"
n02791124,0.8284615384615385,0.72,0.9707692307692307,0.98,[423 423 857 ... 423 423 423],"[423 423 424 423 559 423 423 424 424 423 423 423 424 423 423 423 423 424
 423 423 423 423 423 423 423 423 423 423 423 423 424 423 423 424 424 423
 423 424 424 424 423 467 423 423 423 423 423 598 423 423]"
n02112706,0.8158878504672897,0.76,0.9429906542056075,0.94,[168 262 262 ... 262 262 262],"[262 262 262 262 262 262 262 262 191 262 262 262 262 209 262 234 262 262
 262 262 223 284 262 262 262 254 262 225 262 262 262 262 262 262 262 262
 154 262 262 243 262 193 262 262 209 262 262 252 262 262]"
n04447861,0.8638461538461538,0.74,0.953076923076923,0.86,[896 861 577 ... 861 861 861],"[861 861 861 519 861 861 861 861 861 861 861 861 861 861 861 861 861 464
 861 706 861 861 515 861 892 876 861 861 861 648 861 861 861 666 861 861
 818 861 897 861 861 861 861 861 463 879 738 861 861 861]"
n03840681,0.8607692307692307,0.76,0.9407692307692308,0.86,[982 684 684 ... 684 684 684],"[684 684 684 684 684 684 684 684 684 684 684 684 643 929 593 684 684 684
 684 684 684 684 819 684 684 684 823 684 684 584 684 918 684 684 788 684
 748 719 684  28 902 684 684 684 684 684 684 684 684 684]"
n07717556,0.8276923076923077,0.66,0.9484615384615385,0.78,[942 942 942 ... 941 942 942],"[942 942 942 942 942 942 942 658 942 942 942 940 942 942 940 942 942 942
 935 942 942 942 942 942 790 942 411 942 942 942 942 942 942 942 942 942
 942 934 463 962 942 953 943 942 945 940 962 926 936 964]"
n02113186,0.6361538461538462,0.6,0.9215384615384615,0.94,[264 151 264 ... 263 264 199],"[225 253 264 253 264 264 264 264 263 264 264 263 264 264 263 263 248 264
 263 264 247 264 263 264 264 264 264 264 264 264 225 264 264 264 195 264
 264 264  34 263 253 189 263 264 264 264 299 264 171 264]"
n02823428,0.7276923076923076,0.64,0.943076923076923,0.9,[440 440 716 ... 585 440 440],"[440 440 907 440 440 440 440 440 440 781 726 440 440 907 440 440 440 737
 440 740 440 737 737 440 737 440 440 440 737 711 440 440 440 440 441 440
 440 737 440 440 612 720 440 440 487 440 440 440 737 898]"
n07697313,0.9184615384615384,0.92,0.9807692307692307,1.0,[933 933 933 ... 933 933 933],"[933 928 933 933 934 934 933 933 933 933 933 933 933 933 933 933 933 933
 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933
 933 933 933 933 933 923 933 933 933 933 933 933 933 933]"
n04264628,0.5885167464114832,0.4,0.9636363636363636,0.86,[810 810 878 ... 508 810 810],"[508 810 810 810 810 810 508 810 878 810 878 878 878 810 878 810 810 171
 878 810 810 508 810 508 553 878 664 810 681 508 810 526 508 878 810 810
 810 810 605 508 878 810 673 508 681 620 878 527 508 508]"
n03047690,0.7384615384615385,0.58,0.9507692307692308,0.88,[502 502 502 ... 498 774 502],"[502 597 630 502 788 502 502 667 788 502 502 502 502 943 774 502 502 774
 502 655 502 502 462 502 502 676 502 502 502 785 774 502 502 502 502 774
 514 806 502 502 788 502 502 630 502 502 790 774 502 459]"
n03180011,0.6507692307692308,0.6,0.9592307692307692,0.98,[527 527 527 ... 527 527 620],"[526 527 527 527 527 664 527 550 527 527 811 527 526 527 527 527 673 526
 527 527 527 526 527 527 688 527 527 527 527 527 527 332 526 664 620 526
 527 681 526 527 527 508 527 526 526 527 527 782 527 527]"
n02326432,0.7823076923076923,0.86,0.9730769230769231,0.98,[331 331 331 ... 331 331 330],"[331 331 331 331 331 331 331 331  82 331 331 331 331 331 331 331 331 330
 331 331 331 330 331 331 330 331 331 331 331 279 330 331 331 331 331 331
 331 331 331 331 331 331 331 331 331 331 330 331 331 331]"
n04254777,0.816923076923077,0.62,0.9538461538461539,0.84,[806 806 806 ... 806 806 806],"[806 459 806 419 655 806 916 658 171 806 806 806 806 806 655 452 465 496
 806 496 655 806 806 806 658 806 806 459 806 806 806 806 806 806 806 806
 840 806 824 806 806 806 806 806 806 806 655 615 496 806]"
n07892512,0.7023076923076923,0.52,0.9346153846153846,0.8,[966 966 907 ... 966 966 966],"[966 845 966 439 966 957 907 470 966 966 907 966 907 967 966 966 966 966
 966 966 966 738 966 532 966 966 907 966 572 907 966 967 966 870 966 966
 966 907 966 966 966 966 907 649 650 907 763 898 907 907]"
n02124075,0.6923076923076923,0.44,0.9515384615384616,0.78,[285 285 285 ... 285 287 539],"[285 285 285 285 284 198 282 281 285 283 285 281 285 406 104 281 285 281
 283 285 598 285 285 285 463 285 285 281 285 611 508 285 281 269 232 281
 285 245 285 894 224 285 285 282 284 285 287 223 285 281]"
n04273569,0.8869230769230769,0.86,0.98,1.0,[814 814 814 ... 814 814 814],"[814 814 814 814 814 814 625 814 814 814 814 814 814 625 814 814 814 625
 814 814 814 814 814 814 814 814 814 842 625 814 814 814 814 814 814 576
 814 814 814 814 814 814 554 814 814 814 814 814 814 814]"
n02391049,0.9738461538461538,0.94,0.99,0.96,[275 340 340 ... 340 340 340],"[340 353 340 340 340 340 977 340 340 340 340 340 340 340 340 340 340 340
 340 340 340 340 340 340 340 340 340 340 340 340 340 348 340 340 340 340
 340 340 340 340 340 340 340 340 340 340 340 340 340 340]"
n02107142,0.7592307692307693,0.64,0.95,0.94,[236 237 236 ... 165 234 214],"[236 214 236 236 236 236 236 236 236 236 236 236 236 236 236 234 236 213
 236 236 238 236 241 236 236 236 234 234 234 236 234 236 234 165 267 236
 236 358 238 234 237 236 227 236 236 236 170 236 236 236]"
n03920288,0.8243243243243243,0.58,0.9594594594594594,0.8,"[712 680 572 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 712 712 712 712 712 712 712 712 712 837 712 712 712 712 712 712 712
 712 647 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 878
 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 712 107 712 712 712 712 712 712 712 712 971 712 925 712 712 712 712
 712 712 712 712 712 712 712  78 712 712 712 712 712 712 712 712 712 712
 577 618 712 712 712 966 712 617 712 712 712 712 712 868 712 712 712 712
 712 599 712 712 712 712 712 712 712 712 712 712 712 712 720 544 712 712
 712 712 845  69 438 712 712 711 971 712 712 617 712 712 712 712 712 712
 722 712 712 551 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 712 712 712 712 712 712 712 712 686 617 712 712 577 712 712 712 712
 712 712 712 747 712 712 712 712 409 712 712 712 712 633 971 647 712 712
 712 712 712 712 712 712 712 712 712 712 712 441 712 712 712 712 712 925
 712 712 712 712 712 712 712 928 712 712 712 712 712 712 712 712 551 712
 691 712 712 712 891 712 712 712 712 969 712 712 712 712 712 438 868 712
 712 712 712 971 712 898 712 712 946 712 712 712 712 712 712 712 438 712
 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712  52 712 712
 712 712 446 712 712 441 712 712 712 712 712 712 712 712 712  31 712 633
 712 712 712 712 473 712 712 712 712 712 712 712 712 712 712 551 712 712
 551 828 712 712 712 712 712 712 712 712 969 712 712 712 827 712 712 712
 712 712 809 712 712 438 712 712 712 712 712 712 712 455 712 712 920 712
 451 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 617
 712 712 477 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 696 712 822 925 712 773 845 712 826 712 712 712 712 712 712 712 691
 712 966 712 712 712 712 712 712 712 928 712 712 712 505 712 712 712 712
 712 712 712 712 712 809 898 712 712 712 712 712 712 712 712 712 712 712
 712 712 712 712 712 712 712 925 473 712 798 712 712 712 712 712 712 712
 712 712 712 714 712 680 712 551 712 712 712 712 861 712 712 712 712 712
 712 712 712 551 712 712 712 739 712 712 712 712 712 619 712 712 712 712
 712 712 712 712 729 712 712 712 712 712 712 712 712 969 712 712 712 712
 712 712 712 712 107 712 111 712 712 868 712 712 712 438 712 712 712 712
 712 712 712 712 588 712 577 712 712 712 712 712 712 712 712 712 712 712
 426 793 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 712 712 712 925 712 712 712 712 784 712 712 470 712 762 712 463 712 712
 712 712 712 712 712 712 712 712 712 712 712 712 712 438 712 712 712 712
 712 712 923 712 892 485 712 712 712 712 712 712 712 712 712 712 712 712
 712 455 712 712 441 712 712 712 633 712 712 712 478 712 633 712 712 712
 618 712 712 712 712 712 712 712 712 712 712 712 712 712 712 868 712 712
 712 583 712 463 712 712 712 712 712 712 897 712 712 712 712 691 815 712
 712 712 455 712 712 712 783 712 969 712 604 712 712 712 712 971 712 712
 712 828 712 712 712 712 835 712 712 712 712 712 712 712 691 712 712 712
 712 712 712 712 712 712 712 712 712 712 712 712 712 712 438 712 712 712
 712 891 712 455 927 674 712 712 712 712 712 712 712 712 551 712 712 712
 454 712 712 712 712 712 712 712 712 712 712 551 712 712 712 712 551 712
 570 712 712 610 813 712 971 712 712 532 712 712 712 712 712 712 927 712
 712 844 712 712 712 712 712 473 712 712 111 712 712 712 633 712 783 712
 712 712 712 712 712 712 435 899 712 971 712 712 712 712 712 712 691 712
 712 438 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 551 712 712 712 712 712 712 696 599 837 712 712 712 712 712 712 712 712
 712 712 712 438 711 712 712 712 712 438 822 712 971 712 712 415 712 712
 712 470 712 712 712 971 712 599 712 712 712 712 712 712 726 712 712 712
 712 712 419 712 712 712 712 712 712 712 712 551 712 712 712 647 712 712
 969 712 712 712 712 712 712 551]","[828 712 712 107 712 712 424 712 712 845 712 635 738 969 712 711 899 809
 680 719 712 712 712 107 712 712 712 712 712 619 927 107 574 712 441 712
 712 712 712 712 712 898 712 470 551 712 712 712 712 712]"
n04505470,0.583076923076923,0.58,0.9807692307692307,0.96,[878 878 810 ... 878 878 878],"[878 878 810 878 878 878 878 810 878 878 810 810 810 848 810 878 401 878
 878 810 878 613 508 878 620 878 878 878 810 878 810 810 810 878 878 508
 878 878 878 878 878 878 810 810 878 810 810 878 878 878]"
n02490219,0.8415384615384616,0.8,0.953076923076923,0.86,[377 377 377 ... 377 380 377],"[377 377 377 377 377 377 377 377 377 377 377 377 377 377 377 377 377 377
 377 192 377 382 377 382 377 377 377 377 382 377 377 379 377 377 341 377
 377 377 336 377 377 382 383 377 377 377 377 367 377 377]"
n03032252,0.8461538461538461,0.56,0.943076923076923,0.78,[498 555 498 ... 498 498 498],"[624 498 687 498 854 498 498 830 498 424 781 498 867 498 498 498 799 498
 692 718 498 498 480 498 582 498 424 498 819 627 781 498 913 498 498 706
 498 851 854 468 498 498 498 498 498 498 860 498 498 498]"
n04456115,0.8669230769230769,0.68,0.94,0.94,[862 862 862 ... 862 862 862],"[862 626 862 819 644 862 862 862 862 862 862 558 862 862 862 546 819 655
 862 862 862 862 607 470 862 862 731 862 862 862 862 862 862 862 862 862
 819 980 862 862 862 862 803 862 980 862 862 862 768 980]"
n02111889,0.9084615384615384,0.94,0.9792307692307692,1.0,[258 212 258 ... 258 258 258],"[258 258 258 258 258 258 258 259 258 258 258 258 258 258 258 258 258 270
 258 258 258 258 258 258 258 258 258 258 258 258 258 258 260 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 258]"
n02690373,0.9084615384615384,0.92,0.9861538461538462,0.98,[404 404 404 ... 895 404 404],"[404 404 404 404 404 404 908 404 404 404 404 404 404 404 404 404 404 404
 404 404 404 404 404 895 404 404 404 404 404 404 895 404 404 404 404 404
 404 404 404 404 404 404 403 404 404 404 404 404 404 404]"
n03095699,0.9246153846153846,0.9,0.9769230769230769,0.98,[510 510 510 ... 510 510 510],"[510 510 510 510 898 510 628 510 510 510 510 510 510 517 510 510 510 510
 540 510 510 510 510 510 510 510 510 510 510 510 510 510 510 510 510 510
 510 510 510 510 510 510 510 510 510 833 510 510 510 510]"
n02423022,0.7446153846153846,0.66,0.9784615384615385,0.96,[353 353 353 ... 353 104 353],"[351 353 348 353 353 352 353 353 353 353 352 353 353 353 171 353 353 353
 353 353 353 353 351 352 353 172 353 353 353 353 352 352 353 353 355 352
 353 352 352 353 353 825 353 353 352 353 353 353 353 352]"
n07742313,0.8930769230769231,0.86,0.9607692307692308,0.9,[948 948 948 ... 948 948 948],"[924 948 948 948 948 948 950 948 948 948 948 948 948 692 948 948 948 948
 948 948 948 948 948 948 948 948 922 948 948 572 948 948 948 948 948 948
 948 948 503 948 948 948 948 948 948 957 948 948 948 948]"
n04483307,0.7692307692307693,0.82,0.9784615384615385,0.96,[871 871 871 ... 484 871 871],"[871 871 484 871 871 871 871 871 871 914 871 871 484 871 871 871 871 484
 871 871 871 871 484 871 871 405 871 871 871 914 871 871 484 871 657 871
 871 871 871 871 871 871 871 871 871 871 871 871 871 871]"
