class_number,label,wordnet_id
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",n01819313
90,lorikeet,n01820546
91,coucal,n01824575
92,bee eater,n01828970
93,hornbill,n01829413
94,hummingbird,n01833805
95,jacamar,n01843065
96,toucan,n01843383
97,drake,n01847000
98,"red-breasted merganser, Mergus serrator",n01855032
99,goose,n01855672
100,"black swan, Cygnus atratus",n01860187
101,tusker,n01871265
102,"echidna, spiny anteater, anteater",n01872401
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",n01873310
104,"wallaby, brush kangaroo",n01877812
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",n01882714
106,wombat,n01883070
107,jellyfish,n01910747
108,"sea anemone, anemone",n01914609
109,brain coral,n01917289
110,"flatworm, platyhelminth",n01924916
111,"nematode, nematode worm, roundworm",n01930112
112,conch,n01943899
113,snail,n01944390
114,slug,n01945685
115,"sea slug, nudibranch",n01950731
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",n01955084
117,"chambered nautilus, pearly nautilus, nautilus",n01968897
118,"Dungeness crab, Cancer magister",n01978287
119,"rock crab, Cancer irroratus",n01978455
120,fiddler crab,n01980166
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",n01981276
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",n01983481
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",n01984695
124,"crayfish, crawfish, crawdad, crawdaddy",n01985128
125,hermit crab,n01986214
126,isopod,n01990800
127,"white stork, Ciconia ciconia",n02002556
128,"black stork, Ciconia nigra",n02002724
129,spoonbill,n02006656
130,flamingo,n02007558
131,"little blue heron, Egretta caerulea",n02009229
132,"American egret, great white heron, Egretta albus",n02009912
133,bittern,n02011460
134,cranes,n02012849
135,"limpkin, Aramus pictus",n02013706
136,"European gallinule, Porphyrio porphyrio",n02017213
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",n02018207
138,bustard,n02018795
139,"ruddy turnstone, Arenaria interpres",n02025239
140,"red-backed sandpiper, dunlin, Erolia alpina",n02027492
141,"redshank, Tringa totanus",n02028035
142,dowitcher,n02033041
143,"oystercatcher, oyster catcher",n02037110
144,pelican,n02051845
145,"king penguin, Aptenodytes patagonica",n02056570
146,"albatross, mollymawk",n02058221
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",n02066245
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",n02071294
149,"dugong, Dugong dugon",n02074367
150,sea lion,n02077923
151,Chihuahua,n02085620
152,Japanese spaniel,n02085782
153,"Maltese dog, Maltese terrier, Maltese",n02085936
154,"Pekinese, Pekingese, Peke",n02086079
155,Shih-Tzu,n02086240
156,Blenheim spaniel,n02086646
157,papillon,n02086910
158,toy terrier,n02087046
159,Rhodesian ridgeback,n02087394
160,"Afghan hound, Afghan",n02088094
161,"basset, basset hound",n02088238
162,beagle,n02088364
163,"bloodhound, sleuthhound",n02088466
164,bluetick,n02088632
165,black-and-tan coonhound,n02089078
166,"Walker hound, Walker foxhound",n02089867
167,English foxhound,n02089973
168,redbone,n02090379
169,"borzoi, Russian wolfhound",n02090622
170,Irish wolfhound,n02090721
171,Italian greyhound,n02091032
172,whippet,n02091134
173,"Ibizan hound, Ibizan Podenco",n02091244
174,"Norwegian elkhound, elkhound",n02091467
175,"otterhound, otter hound",n02091635
176,"Saluki, gazelle hound",n02091831
177,"Scottish deerhound, deerhound",n02092002
178,Weimaraner,n02092339
179,"Staffordshire bullterrier, Staffordshire bull terrier",n02093256
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",n02093428
181,Bedlington terrier,n02093647
182,Border terrier,n02093754
183,Kerry blue terrier,n02093859
184,Irish terrier,n02093991
185,Norfolk terrier,n02094114
186,Norwich terrier,n02094258
187,Yorkshire terrier,n02094433
188,wire-haired fox terrier,n02095314
189,Lakeland terrier,n02095570
190,"Sealyham terrier, Sealyham",n02095889
191,"Airedale, Airedale terrier",n02096051
192,"cairn, cairn terrier",n02096177
193,Australian terrier,n02096294
194,"Dandie Dinmont, Dandie Dinmont terrier",n02096437
195,"Boston bull, Boston terrier",n02096585
196,miniature schnauzer,n02097047
197,giant schnauzer,n02097130
198,standard schnauzer,n02097209
199,"Scotch terrier, Scottish terrier, Scottie",n02097298
200,"Tibetan terrier, chrysanthemum dog",n02097474
201,"silky terrier, Sydney silky",n02097658
202,soft-coated wheaten terrier,n02098105
203,West Highland white terrier,n02098286
204,"Lhasa, Lhasa apso",n02098413
205,flat-coated retriever,n02099267
206,curly-coated retriever,n02099429
207,golden retriever,n02099601
208,Labrador retriever,n02099712
209,Chesapeake Bay retriever,n02099849
210,German short-haired pointer,n02100236
211,"vizsla, Hungarian pointer",n02100583
212,English setter,n02100735
213,"Irish setter, red setter",n02100877
214,Gordon setter,n02101006
215,Brittany spaniel,n02101388
216,"clumber, clumber spaniel",n02101556
217,"English springer, English springer spaniel",n02102040
218,Welsh springer spaniel,n02102177
219,"cocker spaniel, English cocker spaniel, cocker",n02102318
220,Sussex spaniel,n02102480
221,Irish water spaniel,n02102973
222,kuvasz,n02104029
223,schipperke,n02104365
224,groenendael,n02105056
225,malinois,n02105162
226,briard,n02105251
227,kelpie,n02105412
228,komondor,n02105505
229,"Old English sheepdog, bobtail",n02105641
230,"Shetland sheepdog, Shetland sheep dog, Shetland",n02105855
231,collie,n02106030
232,Border collie,n02106166
233,"Bouvier des Flandres, Bouviers des Flandres",n02106382
234,Rottweiler,n02106550
235,"German shepherd, German shepherd dog, German police dog, alsatian",n02106662
236,"Doberman, Doberman pinscher",n02107142
237,miniature pinscher,n02107312
238,Greater Swiss Mountain dog,n02107574
239,Bernese mountain dog,n02107683
240,Appenzeller,n02107908
241,EntleBucher,n02108000
242,boxer,n02108089
243,bull mastiff,n02108422
244,Tibetan mastiff,n02108551
245,French bulldog,n02108915
246,Great Dane,n02109047
247,"Saint Bernard, St Bernard",n02109525
248,"Eskimo dog, husky",n02109961
249,"malamute, malemute, Alaskan malamute",n02110063
250,Siberian husky,n02110185
251,"dalmatian, coach dog, carriage dog",n02110341
252,"affenpinscher, monkey pinscher, monkey dog",n02110627
253,basenji,n02110806
254,"pug, pug-dog",n02110958
255,Leonberg,n02111129
256,"Newfoundland, Newfoundland dog",n02111277
257,Great Pyrenees,n02111500
258,"Samoyed, Samoyede",n02111889
259,Pomeranian,n02112018
260,"chow, chow chow",n02112137
261,keeshond,n02112350
262,Brabancon griffon,n02112706
263,"Pembroke, Pembroke Welsh corgi",n02113023
264,"Corgi, dachshund",n02113186
265,toy poodle,n02113624
266,miniature poodle,n02113712
267,standard poodle,n02113799
268,Mexican hairless,n02113978
269,"timber wolf, grey wolf, gray wolf, Canis lupus",n02114367
270,"white wolf, Arctic wolf, Canis lupus tundrarum",n02114548
271,"red wolf, maned wolf, Canis rufus, Canis niger",n02114712
272,"coyote, prairie wolf, brush wolf, Canis latrans",n02114855
273,"dingo, warrigal, warragal, Canis dingo",n02115641
274,"dhole, Cuon alpinus",n02115913
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",n02116738
276,"hyena, hyaena",n02117135
277,"red fox, Vulpes vulpes",n02119022
278,"kit fox, Vulpes macrotis",n02119789
279,"Arctic fox, white fox, Alopex lagopus",n02120079
280,"grey fox, gray fox, Urocyon cinereoargenteus",n02120505
281,"tabby, tabby cat",n02123045
282,tiger cat,n02123159
283,Persian cat,n02123394
284,"Siamese cat, Siamese",n02123597
285,Egyptian cat,n02124075
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",n02125311
287,"lynx, catamount",n02127052
288,"leopard, Panthera pardus",n02128385
289,"snow leopard, ounce, Panthera uncia",n02128757
290,"jaguar, panther, Panthera onca, Felis onca",n02128925
291,"lion, king of beasts, Panthera leo",n02129165
292,"tiger, Panthera tigris",n02129604
293,"cheetah, chetah, Acinonyx jubatus",n02130308
294,"brown bear, bruin, Ursus arctos",n02132136
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",n02133161
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",n02134084
297,"sloth bear, Melursus ursinus, Ursus ursinus",n02134418
298,mongoose,n02137549
299,"meerkat, mierkat",n02138441
300,tiger beetle,n02165105
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",n02165456
302,"ground beetle, carabid beetle",n02167151
303,"long-horned beetle, longicorn, longicorn beetle",n02168699
304,"leaf beetle, chrysomelid",n02169497
305,dung beetle,n02172182
306,rhinoceros beetle,n02174001
307,weevil,n02177972
308,fly,n02190166
309,bee,n02206856
310,"ant, emmet, pismire",n02219486
311,"grasshopper, hopper",n02226429
312,cricket,n02229544
313,"walking stick, walkingstick, stick insect",n02231487
314,"cockroach, roach",n02233338
315,"mantis, mantid",n02236044
316,"cicada, cicala",n02256656
317,leafhopper,n02259212
318,"lacewing, lacewing fly",n02264363
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",n02268443
320,damselfly,n02268853
321,admiral,n02276258
322,"ringlet, ringlet butterfly",n02277742
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",n02279972
324,cabbage butterfly,n02280649
325,"sulphur butterfly, sulfur butterfly",n02281406
326,"lycaenid, lycaenid butterfly",n02281787
327,"starfish, sea star",n02317335
328,sea urchin,n02319095
329,"sea cucumber, holothurian",n02321529
330,"wood rabbit, cottontail, cottontail rabbit",n02325366
331,hare,n02326432
332,"Angora, Angora rabbit",n02328150
333,hamster,n02342885
334,"porcupine, hedgehog",n02346627
335,"fox squirrel, eastern fox squirrel, Sciurus niger",n02356798
336,marmot,n02361337
337,beaver,n02363005
338,"guinea pig, Cavia cobaya",n02364673
339,sorrel,n02389026
340,zebra,n02391049
341,"hog, pig, grunter, squealer, Sus scrofa",n02395406
342,"wild boar, boar, Sus scrofa",n02396427
343,warthog,n02397096
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",n02398521
345,ox,n02403003
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",n02408429
347,bison,n02410509
348,"ram, tup",n02412080
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",n02415577
350,"ibex, Capra ibex",n02417914
351,hartebeest,n02422106
352,"impala, Aepyceros melampus",n02422699
353,gazelle,n02423022
354,"Arabian camel, dromedary, Camelus dromedarius",n02437312
355,llama,n02437616
356,weasel,n02441942
357,mink,n02442845
358,"polecat, fitch, foulmart, foumart, Mustela putorius",n02443114
359,"black-footed ferret, ferret, Mustela nigripes",n02443484
360,otter,n02444819
361,"skunk, polecat, wood pussy",n02445715
362,badger,n02447366
363,armadillo,n02454379
364,"three-toed sloth, ai, Bradypus tridactylus",n02457408
365,"orangutan, orang, orangutang, Pongo pygmaeus",n02480495
366,"gorilla, Gorilla gorilla",n02480855
367,"chimpanzee, chimp, Pan troglodytes",n02481823
368,"gibbon, Hylobates lar",n02483362
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",n02483708
370,"guenon, guenon monkey",n02484975
371,"patas, hussar monkey, Erythrocebus patas",n02486261
372,baboon,n02486410
373,macaque,n02487347
374,langur,n02488291
375,"colobus, colobus monkey",n02488702
376,"proboscis monkey, Nasalis larvatus",n02489166
377,marmoset,n02490219
378,"capuchin, ringtail, Cebus capucinus",n02492035
379,"howler monkey, howler",n02492660
380,"titi, titi monkey",n02493509
381,"spider monkey, Ateles geoffroyi",n02493793
382,"squirrel monkey, Saimiri sciureus",n02494079
383,"Madagascar cat, ring-tailed lemur, Lemur catta",n02497673
384,"indri, indris, Indri indri, Indri brevicaudatus",n02500267
385,"Indian elephant, Elephas maximus",n02504013
386,"African elephant, Loxodonta africana",n02504458
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",n02509815
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",n02510455
389,"barracouta, snoek",n02514041
390,eel,n02526121
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",n02536864
392,"rock beauty, Holocanthus tricolor",n02606052
393,anemone fish,n02607072
394,sturgeon,n02640242
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",n02641379
396,lionfish,n02643566
397,"puffer, pufferfish, blowfish, globefish",n02655020
398,abacus,n02666196
399,abaya,n02667093
400,"academic gown, academic robe, judge's robe",n02669723
401,"accordion, piano accordion, squeeze box",n02672831
402,acoustic guitar,n02676566
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",n02687172
404,airliner,n02690373
405,"airship, dirigible",n02692877
406,altar,n02699494
407,ambulance,n02701002
408,"amphibian, amphibious vehicle",n02704792
409,analog clock,n02708093
410,"apiary, bee house",n02727426
411,apron,n02730930
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",n02747177
413,"assault rifle, assault gun",n02749479
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",n02769748
415,"bakery, bakeshop, bakehouse",n02776631
416,"balance beam, beam",n02777292
417,balloon,n02782093
418,"ballpoint, ballpoint pen, ballpen, Biro",n02783161
419,Band Aid,n02786058
420,banjo,n02787622
421,"bannister, banister, balustrade, balusters, handrail",n02788148
422,barbell,n02790996
423,barber chair,n02791124
424,barbershop,n02791270
425,barn,n02793495
426,barometer,n02794156
427,"barrel, cask",n02795169
428,"barrow, garden cart, lawn cart, wheelbarrow",n02797295
429,baseball,n02799071
430,basketball,n02802426
431,bassinet,n02804414
432,bassoon,n02804610
433,"bathing cap, swimming cap",n02807133
434,bath towel,n02808304
435,"bathtub, bathing tub, bath, tub",n02808440
436,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",n02814533
437,"beacon, lighthouse, beacon light, pharos",n02814860
438,beaker,n02815834
439,"bearskin, busby, shako",n02817516
440,beer bottle,n02823428
441,beer glass,n02823750
442,"bell cote, bell cot",n02825657
443,bib,n02834397
444,trikes,n02835271
445,"bikini, two-piece",n02837789
446,"binder, ring-binder",n02840245
447,"binoculars, field glasses, opera glasses",n02841315
448,birdhouse,n02843684
449,boathouse,n02859443
450,"bobsled, bobsleigh, bob",n02860847
451,"bolo tie, bolo, bola tie, bola",n02865351
452,"bonnet, poke bonnet",n02869837
453,bookcase,n02870880
454,"bookshop, bookstore, bookstall",n02871525
455,bottlecap,n02877765
456,bow,n02879718
457,"bow tie, bow-tie, bowtie",n02883205
458,"brass, memorial tablet, plaque",n02892201
459,"brassiere, bra, bandeau",n02892767
460,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",n02894605
461,"breastplate, aegis, egis",n02895154
462,broom,n02906734
463,"bucket, pail",n02909870
464,buckle,n02910353
465,bulletproof vest,n02916936
466,"bullet train, bullet",n02917067
467,"butcher shop, meat market",n02927161
468,"cab, hack, taxi, taxicab",n02930766
469,"caldron, cauldron",n02939185
470,"candle, taper, wax light",n02948072
471,cannon,n02950826
472,canoe,n02951358
473,"can opener, tin opener",n02951585
474,tweed,n02963159
475,car mirror,n02965783
476,"carousel, carrousel, merry-go-round, roundabout, whirligig",n02966193
477,"carpenter's kit, tool kit",n02966687
478,carton,n02971356
479,car wheel,n02974003
480,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",n02977058
481,cassette,n02978881
482,cassette player,n02979186
483,castle,n02980441
484,catamaran,n02981792
485,CD player,n02988304
486,"cello, violoncello",n02992211
487,"cellular telephone, cellular phone, cellphone, cell, mobile phone",n02992529
488,chain,n02999410
489,chainlink fence,n03000134
490,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",n03000247
491,"chain saw, chainsaw",n03000684
492,chest,n03014705
493,"chiffonier, commode",n03016953
494,"chime, bell, gong",n03017168
495,"china cabinet, china closet",n03018349
496,Christmas stocking,n03026506
497,"church, church building",n03028079
498,"cinema, movie theater, movie theatre, movie house, picture palace",n03032252
499,"cleaver, meat cleaver, chopper",n03041632
500,cliff dwelling,n03042490
501,cloak,n03045698
502,"clog, geta, patten, sabot",n03047690
503,cocktail shaker,n03062245
504,coffee mug,n03063599
505,coffeepot,n03063689
506,"coil, spiral, volute, whorl, helix",n03065424
507,combination lock,n03075370
508,"computer keyboard, keypad",n03085013
509,"confectionery, confectionary, candy store",n03089624
510,"container ship, containership, container vessel",n03095699
511,convertible,n03100240
512,"corkscrew, bottle screw",n03109150
513,"cornet, horn, trumpet, trump",n03110669
514,cowboy boot,n03124043
515,"cowboy hat, ten-gallon hat",n03124170
516,cradle,n03125729
517,Gantry,n03126707
518,crash helmet,n03127747
519,crate,n03127925
520,"crib, cot",n03131574
521,Crock Pot,n03133878
522,croquet ball,n03134739
523,crutch,n03141823
524,cuirass,n03146219
525,"dam, dike, dyke",n03160309
526,desk,n03179701
527,desktop computer,n03180011
528,"dial telephone, dial phone",n03187595
529,"diaper, nappy, napkin",n03188531
530,digital clock,n03196217
531,digital watch,n03197337
532,"dining table, board",n03201208
533,"dishrag, dishcloth",n03207743
534,"dishwasher, dish washer, dishwashing machine",n03207941
535,"disk brake, disc brake",n03208938
536,"dock, dockage, docking facility",n03216828
537,"dogsled, dog sled, dog sleigh",n03218198
538,dome,n03220513
539,"doormat, welcome mat",n03223299
540,"drilling platform, offshore rig",n03240683
541,"drum, membranophone, tympan",n03249569
542,drumstick,n03250847
543,dumbbell,n03255030
544,Dutch oven,n03259280
545,"electric fan, blower",n03271574
546,electric guitar,n03272010
547,electric locomotive,n03272562
548,entertainment center,n03290653
549,envelope,n03291819
550,espresso maker,n03297495
551,face powder,n03314780
552,"feather boa, boa",n03325584
553,"file, file cabinet, filing cabinet",n03337140
554,fireboat,n03344393
555,"fire engine, fire truck",n03345487
556,"fire screen, fireguard",n03347037
557,"flagpole, flagstaff",n03355925
558,"flute, transverse flute",n03372029
559,folding chair,n03376595
560,football helmet,n03379051
561,forklift,n03384352
562,fountain,n03388043
563,fountain pen,n03388183
564,four-poster,n03388549
565,freight car,n03393912
566,"French horn, horn",n03394916
567,"frying pan, frypan, skillet",n03400231
568,fur coat,n03404251
569,"garbage truck, dustcart",n03417042
570,"gasmask, respirator, gas helmet",n03424325
571,"gas pump, gasoline pump, petrol pump, island dispenser",n03425413
572,goblet,n03443371
573,go-kart,n03444034
574,golf ball,n03445777
575,"golfcart, golf cart",n03445924
576,gondola,n03447447
577,"gong, tam-tam",n03447721
578,gown,n03450230
579,"grand piano, grand",n03452741
580,"greenhouse, nursery, glasshouse",n03457902
581,"grille, radiator grille",n03459775
582,"grocery store, grocery, food market, market",n03461385
583,guillotine,n03467068
584,hair slide,n03476684
585,hair spray,n03476991
586,half track,n03478589
587,hammer,n03481172
588,hamper,n03482405
589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",n03483316
590,"hand-held computer, hand-held microcomputer",n03485407
591,"handkerchief, hankie, hanky, hankey",n03485794
592,"hard disc, hard disk, fixed disk",n03492542
593,"harmonica, mouth organ, harp, mouth harp",n03494278
594,harp,n03495258
595,"harvester, reaper",n03496892
596,hatchet,n03498962
597,holster,n03527444
598,"home theater, home theatre",n03529860
599,honeycomb,n03530642
600,"hook, claw",n03532672
601,"hoopskirt, crinoline",n03534580
602,"horizontal bar, high bar",n03535780
603,"horse cart, horse-cart",n03538406
604,hourglass,n03544143
605,iPod,n03584254
606,"iron, smoothing iron",n03584829
607,lanterns,n03590841
608,"jean, blue jean, denim",n03594734
609,"jeep, landrover",n03594945
610,"jersey, T-shirt, tee shirt",n03595614
611,jigsaw puzzle,n03598930
612,"jinrikisha, ricksha, rickshaw",n03599486
613,joystick,n03602883
614,kimono,n03617480
615,knee pad,n03623198
616,knot,n03627232
617,"lab coat, laboratory coat",n03630383
618,ladle,n03633091
619,"lampshade, lamp shade",n03637318
620,"laptop, laptop computer",n03642806
621,"lawn mower, mower",n03649909
622,"lens cap, lens cover",n03657121
623,"letter opener, paper knife, paperknife",n03658185
624,library,n03661043
625,lifeboat,n03662601
626,"lighter, light, igniter, ignitor",n03666591
627,"limousine, limo",n03670208
628,"liner, ocean liner",n03673027
629,"lipstick, lip rouge",n03676483
630,Loafer,n03680355
631,lotion,n03690938
632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",n03691459
633,"loupe, jeweler's loupe",n03692522
634,"lumbermill, sawmill",n03697007
635,magnetic compass,n03706229
636,"mailbag, postbag",n03709823
637,"mailbox, letter box",n03710193
638,leotards,n03710637
639,unitards,n03710721
640,manhole cover,n03717622
641,maraca,n03720891
642,"marimba, xylophone",n03721384
643,mask,n03724870
644,matchstick,n03729826
645,maypole,n03733131
646,"maze, labyrinth",n03733281
647,measuring cup,n03733805
648,"medicine chest, medicine cabinet",n03742115
649,"megalith, megalithic structure",n03743016
650,"microphone, mike",n03759954
651,"microwave, microwave oven",n03761084
652,military uniform,n03763968
653,milk can,n03764736
654,minibus,n03769881
655,"miniskirt, mini",n03770439
656,minivan,n03770679
657,missile,n03773504
658,mitten,n03775071
659,mixing bowl,n03775546
660,"mobile home, manufactured home",n03776460
661,Model T,n03777568
662,modem,n03777754
663,monastery,n03781244
664,monitor,n03782006
665,moped,n03785016
666,mortar,n03786901
667,mortarboard,n03787032
668,mosque,n03788195
669,mosquito net,n03788365
670,"motor scooter, scooter",n03791053
671,"mountain bike, all-terrain bike, off-roader",n03792782
672,mountain tent,n03792972
673,"mouse, computer mouse",n03793489
674,mousetrap,n03794056
675,moving van,n03796401
676,muzzle,n03803284
677,nail,n03804744
678,neck brace,n03814639
679,necklace,n03814906
680,nipple,n03825788
681,"notebook, notebook computer",n03832673
682,obelisk,n03837869
683,"oboe, hautboy, hautbois",n03838899
684,"ocarina, sweet potato",n03840681
685,"odometer, hodometer, mileometer, milometer",n03841143
686,oil filter,n03843555
687,"organ, pipe organ",n03854065
688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",n03857828
689,overskirt,n03866082
690,oxcart,n03868242
691,oxygen mask,n03868863
692,packet,n03871628
693,"paddle, boat paddle",n03873416
694,"paddlewheel, paddle wheel",n03874293
695,padlock,n03874599
696,paintbrush,n03876231
697,"pajama, pyjama, pj's, jammies",n03877472
698,palace,n03877845
699,"panpipe, pandean pipe, syrinx",n03884397
700,paper towel,n03887697
701,"parachute, chute",n03888257
702,"parallel bars, bars",n03888605
703,park bench,n03891251
704,parking meter,n03891332
705,"passenger car, coach, carriage",n03895866
706,"patio, terrace",n03899768
707,"pay-phone, pay-station",n03902125
708,"pedestal, plinth, footstall",n03903868
709,"pencil box, pencil case",n03908618
710,pencil sharpener,n03908714
711,"perfume, essence",n03916031
712,Petri dish,n03920288
713,photocopier,n03924679
714,"pick, plectrum, plectron",n03929660
715,pickelhaube,n03929855
716,"picket fence, paling",n03930313
717,"pickup, pickup truck",n03930630
718,pier,n03933933
719,"piggy bank, penny bank",n03935335
720,pill bottle,n03937543
721,pillow,n03938244
722,ping-pong ball,n03942813
723,pinwheel,n03944341
724,"pirate, pirate ship",n03947888
725,"pitcher, ewer",n03950228
726,"plane, carpenter's plane, woodworking plane",n03954731
727,planetarium,n03956157
728,plastic bag,n03958227
729,plate rack,n03961711
730,"plow, plough",n03967562
731,"plunger, plumber's helper",n03970156
732,"Polaroid camera, Polaroid Land camera",n03976467
733,pole,n03976657
734,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",n03977966
735,poncho,n03980874
736,"pool table, billiard table, snooker table",n03982430
737,"pop bottle, soda bottle",n03983396
738,"pot, flowerpot",n03991062
739,potter's wheel,n03992509
740,power drill,n03995372
741,"prayer rug, prayer mat",n03998194
742,printer,n04004767
743,"prison, prison house",n04005630
744,"projectile, missile",n04008634
745,projector,n04009552
746,"puck, hockey puck",n04019541
747,"punching bag, punch bag, punching ball, punchball",n04023962
748,purse,n04026417
749,"quill, quill pen",n04033901
750,"quilt, comforter, comfort, puff",n04033995
751,"racer, race car, racing car",n04037443
