class_number,wordnet_id,label,uri,n_train,n_val,n_humans_train,n_humans_val,Nunique_humans_train,gender_skewness_train,age_min_train,age_max_train,n_women_train,mean_age_women_train,std_age_women_train,n_men_train,mean_age_men_train,std_age_men_train,age_min_val,age_max_val,Nunique_humans_val,gender_skewness_val,n_women_val,mean_age_women_val,std_age_women_val,n_men_val,mean_age_men_val,std_age_men_val,age_min,age_max,n_faces_raw_audit,n_faceswithages_audit,n_train_audit,mean_age_audit,std_age_audit,skew_age_audit,n_faceswithages_audit_2,n_train_audit_2,mean_gender_audit,std_gender_audit,skew_gender_audit,mean_nsfw_train,mean_nsfw_val,std_nsfw_train,std_nsfw_val,mean_top1_train_r50,mean_top1_val_r50,mean_top5_train_r50,mean_top5_val_r50,pred_train_r50,pred_val_r50,mean_top1_train_nnm,mean_top1_val_nnm,mean_top5_train_nnm,mean_top5_val_nnm,pred_train_nnm,pred_val_nnm,class_number_umap,label_renamed_glove,umap_x,umap_y
10,n01530575,"brambling, Fringilla montifringilla",http://wordnet-rdf.princeton.edu/wn30/01530575-n,1300,50,3,0,3,-0.7071067811865475,16.0,37.0,1.0,16.0,,2.0,34.5,3.5355339059327378,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,37.0,2640,5,1300,38.90611707516711,7.3210570615872435,0.4784411795570462,5,1300,0.587898021936416,0.22835029727806444,0.008517497340307094,0.034038482970193774,0.03441926283114299,0.10802547299976926,0.10435677266996936,0.9069230769230768,0.78,0.9738461538461538,0.92,[10 10 10 ... 10 10 10],"[ 10  10 489  10  10  82  10  10  10  10  10  10  10  10  10  10  10  10
  10 858  10  10  85  10  10  10 272  15  82  10  10  10 448  10 114  10
  10  10  10  10  10  10  10  11  10  10  10  10  10  92]",0.9107692307692308,0.84,0.9784615384615384,0.94,[10 10 10 ... 10 10 10],"[ 10  10  82  10  10  13  10  10  10  10  10  10  10  10  10  10  10  10
  10  53  10  10  10  10  10  10 489  13  13  10  10  10  10  10  10  10
  10  10  10  10  10  10  10  11  10  10  10  10  10 139]",10,"brambling, Fringilla montifringilla",1.8639318,10.62605
11,n01531178,"goldfinch, Carduelis carduelis",http://wordnet-rdf.princeton.edu/wn30/01531178-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,1642,1,1300,27.02737236828884,0.0,0.0,1,1300,0.912128329277038,,0.0,0.047081894171239536,0.031653271078575934,0.12425994862817714,0.07181947102466775,0.9638461538461538,0.9,0.9876923076923076,0.98,[11 11 11 ... 11 11 11],"[ 11  11  11  11  10  11  11  11  11  11  11  11  11  11  11  11  11  11
  11  10  11  11  11  11 815  11  11  11  11  11  11  11  11  11  11  11
  11  11  11  11  11  16  11  11  11  11 325  11  11  11]",0.9507692307692308,0.86,0.99,1.0,[11 11 11 ... 11 83 11],"[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11
  11  10  11  11 321  11  11  11  11  11  11  12  11  15  11  11  11  11
  92  11  11  11  11  11  11  11  11  11  11  10  11  15]",11,"goldfinch, Carduelis carduelis",2.1416147,10.444419
12,n01532829,"house finch, linnet, Carpodacus mexicanus",http://wordnet-rdf.princeton.edu/wn30/01532829-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2297,3,1300,52.424908843984184,3.7159553808611316,-0.7069155060871944,3,1300,0.45974742497007,0.43989235692131934,0.174473119493552,0.04583933112326244,0.04304587883205386,0.13394517989792715,0.11080953973035584,0.8846153846153846,0.88,0.9615384615384616,0.94,[85 12 12 ... 12 12 12],"[ 12 677  12  12  12  12  10  12  12  12  12  12  12  12  12  85  12  21
  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12 863  12
  12  12  12  12  85  12  12  12  12  12  12  12  12  12]",0.9176923076923076,0.86,0.97,0.94,[85 12 12 ... 12 12 12],"[ 12 677  12  12  12  12  11  12  12  12  12  12  14  12  12  15  12  21
  12  12  12  12  12  12  12  12  12  13  12  12  12  12  12  12  21  12
  12  12  12  12  12  12  12  12  12  12  12  12  12  12]",12,"house finch, linnet, Carpodacus mexicanus",3.243087,7.3813224
13,n01534433,"junco, snowbird",http://wordnet-rdf.princeton.edu/wn30/01534433-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2158,1,1300,41.62352081083571,0.0,0.0,1,1300,0.452671766281127,,0.0,0.05693075966495791,0.0387233209776241,0.15151862078120454,0.07062821557458199,0.8915384615384615,0.96,0.9646153846153848,1.0,[13 13 13 ... 13 13 13],"[ 13  13  13  13  13  13  13  13  13  13  13 993  13  13  13  13  13  13
  13  13  13  13  13  13  13  13  16  13  13  13  13  13  13  13  13  13
  13  13  13  13  13  13  13  13  13  13  13  13  13  13]",0.936153846153846,1.0,0.9753846153846154,1.0,[13 13 13 ... 13 13 13],"[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
 13 13]",13,"junco, snowbird",2.1284554,10.35726
14,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",http://wordnet-rdf.princeton.edu/wn30/01537544-n,1300,50,4,0,4,-1.1547005383792517,12.0,47.0,1.0,12.0,,3.0,40.333333333333336,10.692676621563626,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,47.0,1685,4,1300,31.57324504296968,6.301516376296294,0.4201298242581945,4,1300,0.25104143243515825,0.4887167833383769,1.1543808761908814,0.045518881034148855,0.037468398862611135,0.12638869494025762,0.11975761824884118,0.953076923076923,0.86,0.9892307692307692,0.92,[14 14 14 ... 14 14 14],"[ 14  14  14  14  14  14 679  14  14  14  14  14  14  14 912  14  14  14
  14  14  46  14  14  23  14  14  14  14 381  14  42  14  14  14  14  14
  14  14  14  14  14  14  14  14  14  14  14  14  84  14]",0.9638461538461538,0.9,0.9907692307692308,0.98,[14 14 14 ... 14 14 14],"[ 14  14  14  14  14  14  14  14  14  14  14  14  14  14 912  14  11  14
  14  14  14  14  14  96  14  14  14  14  94  14  14  14  14  14  14  14
  14  14  14  14  14  14  14  14  14  14  14  14 136  14]",14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",2.9834132,7.913083599999999
15,n01558993,"robin, American robin, Turdus migratorius",http://wordnet-rdf.princeton.edu/wn30/01558993-n,1300,50,2,0,2,0.0,33.0,53.0,,,,2.0,43.0,14.142135623730953,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,53.0,2405,2,1300,44.01175864824492,3.5409570481330945,0.0,2,1300,0.7711957395076745,0.3222024151815968,7.3343035280552e-16,0.030946794647130668,0.03189079302566825,0.09327897244657067,0.0997584473028348,0.9146153846153846,0.96,0.9715384615384616,0.98,[ 15  15  15 ...  15 815  15],"[ 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15
  15 311  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15
  15  15  15  15 489  15  15  15  15  15  15  15  15  15]",0.9307692307692308,0.92,0.9692307692307692,1.0,[ 15  15  15 ...  15 815  15],"[15 15 15 15 15  7 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 18 11 15 15 15 15 15 15 15
 15 12]",15,"robin, American robin, Turdus migratorius",3.2842754999999997,7.601792999999999
16,n01560419,bulbul,http://wordnet-rdf.princeton.edu/wn30/01560419-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2024,2,1300,39.07006831003208,6.768603426305063,0.0,2,1300,0.6913000047206875,0.3531311213180429,3.3426316702168667e-16,0.053923707432598944,0.06997009582670216,0.12970712524647013,0.16870696786094422,0.8253846153846154,0.74,0.9553846153846154,0.9,[16 16 16 ... 16 16 16],"[42 16 16 11 16 94 14 91 16 16 16 16 15 16 16 16 91 16 16 16 16 16 85 16
 16 16 16 16 16 13 16 16 16 16 16 94 94 16 16 16 16 16 22 16 16 16 16 95
 16 16]",0.926923076923077,0.88,0.9823076923076924,0.98,[16 16 16 ... 16 16 16],"[16 16 16 94 16 16 14 16 16 16 16 16 90 16 16 16 91 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 12 16 16 16 16 91
 16 16]",16,bulbul,2.1673236,10.413369
17,n01580077,jay,http://wordnet-rdf.princeton.edu/wn30/01580077-n,1300,50,1,0,1,0.0,65.0,65.0,,,,1.0,65.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,65.0,2068,2,1300,48.94023854643663,8.075142543586736,0.0,2,1300,0.8517611920833585,0.20810432135423854,0.0,0.07479095893907872,0.04466487415753363,0.15887447246728625,0.09180031901645327,0.9292307692307692,0.86,0.9838461538461538,0.92,[17 17 17 ... 17 17 17],"[ 17  17  17  17  17  17  17  17  17  84  17  17  17  17  17  17  95  17
  18  17  17  17  17  17  17  17  17  17  17  17  17  17  18  17  17  17
  17  17  17  17 331  17  17  17  17  17  10  17  17  97]",0.9476923076923076,0.88,0.9915384615384616,0.96,[17 17 17 ... 17 17 17],"[17 17 17 17 17 17 17 17 17 84 17 17 17 17 17 17 95 17 18 17 17 17 17 17
 17 17 17 17 17 17 17 17 17 17 17 17 14 17 17 17 17 14 17 17 17 17 10 17
 17 17]",17,jay,3.3076284,7.522664999999999
18,n01582220,magpie,http://wordnet-rdf.princeton.edu/wn30/01582220-n,1300,50,2,1,2,0.0,26.0,30.0,1.0,26.0,,1.0,30.0,,19.0,19.0,1,0.0,1.0,19.0,,,,,26.0,30.0,1513,2,1300,38.826509741785905,21.42981944534563,0.0,2,1300,0.514575002714991,0.6839480177946564,3.680587995956755e-16,0.04957663430765488,0.06805845995721027,0.12255842787530928,0.16066944281850615,0.8738461538461538,0.8,0.96,0.92,[ 18 146  18 ...  18  18  18],"[ 18  18  18  18  18  18  18 383  18  18  91 272  18  18  18  18  18  18
  18  18 853  18  18  10  18  22  21  18  18  18  18  18  18  18  18  18
  18  94  18  18 611  18  18  92  18  18  18  18  18  18]",0.8992307692307693,0.84,0.9676923076923076,0.98,[ 18 146  18 ...  18  18  18],"[ 18  18  18  18  18  18  18  18  18  18  18 353  18  18  18  18  18  18
 143  18  91  18  18  18  18  22  21  18  18  18  18  18  18  18  18  18
  18  13  18  18 148  18  16  18  18  18  18  18  18  18]",18,magpie,2.491501,10.117478
19,n01592084,chickadee,http://wordnet-rdf.princeton.edu/wn30/01592084-n,1300,50,1,0,1,0.0,9.0,9.0,,,,1.0,9.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,9.0,1886,1,1300,27.67664515802926,0.0,0.0,1,1300,0.936456620693206,,0.0,0.07763696716523966,0.036939824457294886,0.17631458836346056,0.06564495428996307,0.9207692307692308,0.94,0.9807692307692308,0.98,[19 19 19 ... 19 19 19],"[19 19 19 19 19 19 19 19 19 19 19 19 19 16 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 21 19 19 19 93 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19]",0.946923076923077,0.98,0.9884615384615384,1.0,[19 19 19 ... 19 13 19],"[19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
 19 19 19 19 19 19 19 19 19 19 19 19 19 17 19 19 19 19 19 19 19 19 19 19
 19 19]",19,chickadee,2.2106168,10.255207
20,n01601694,"water ouzel, dipper",http://wordnet-rdf.princeton.edu/wn30/01601694-n,1300,50,1,0,1,0.0,19.0,19.0,1.0,19.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,19.0,1623,0,1300,,,,0,1300,,,,0.011422567980000796,0.021933013161406053,0.056866842529867075,0.10220990461360954,0.8807692307692307,0.8,0.9569230769230768,0.84,[12 20 82 ... 20 20 20],"[114  20  20  20  94  20  20  20  20  20  20  20  10  20  20  20  20  20
  20  18  20  20  20  20  20  20 460  20  20  20  20  20  20  85  20  20
  20  20 140  94  20  20  20  95   6  20  20  20  20  20]",0.9161538461538462,0.82,0.9692307692307692,0.9,[16 20 81 ... 20 20 20],"[114  20  20  20  94  20  20  20  20  20 137  20  10  20  20  20  20  20
  20  20  20  20  20  20  20  20 979  20  20  20  20  20  20  20  20  20
  20  20 141  16  20  20  20  95  58  20  20  20  20  20]",20,"water ouzel, dipper",0.9243273999999999,5.9289974999999995
21,n01608432,kite,http://wordnet-rdf.princeton.edu/wn30/01608432-n,1300,50,3,0,3,0.0,31.0,44.0,,,,3.0,37.0,6.5574385243019995,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,44.0,1225,5,1300,36.528485993567145,10.493192851820039,0.490098376546737,5,1300,0.9594029784202572,0.06993798652851795,-1.3571764949019351,0.00866186377672297,0.0169427028627797,0.029762367429831557,0.057318130306612425,0.8076923076923077,0.68,0.9746153846153848,0.92,[21 21 21 ... 21 21 21],"[ 23  81 371 138  21  21  21  21  21  21  21  21   7  80  21  22  21  21
  21  21  21  21  21  21  21  21  21  21  21 374  22  21  21  22  22  21
  21  21  22  21  81 345  21  21  21  21  22  21  21  91]",0.8723076923076923,0.72,0.9838461538461538,0.88,[21 21 21 ... 21 21 21],"[ 23  21  15  21  21  21  21  21  21  21  21  21  82  18  21  23  21  21
  21  23  21  21  21  21  21  21  21  21  21  23  21  22  21 138  22  21
 144  21  21  21  82 345  21  21  21  21  16  21  21  21]",21,kite,4.156035,6.358272599999999
