class_number,wordnet_id,label,uri,n_train,n_val,n_humans_train,n_humans_val,Nunique_humans_train,gender_skewness_train,age_min_train,age_max_train,n_women_train,mean_age_women_train,std_age_women_train,n_men_train,mean_age_men_train,std_age_men_train,age_min_val,age_max_val,Nunique_humans_val,gender_skewness_val,n_women_val,mean_age_women_val,std_age_women_val,n_men_val,mean_age_men_val,std_age_men_val,age_min,age_max
20,n01601694,"water ouzel, dipper",http://wordnet-rdf.princeton.edu/wn30/01601694-n,1300,50,1,0,1,0.0,19.0,19.0,1.0,19.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,19.0
21,n01608432,kite,http://wordnet-rdf.princeton.edu/wn30/01608432-n,1300,50,3,0,3,0.0,31.0,44.0,,,,3.0,37.0,6.557438524302,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,44.0
22,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",http://wordnet-rdf.princeton.edu/wn30/01614925-n,1300,50,14,0,14,-3.3282011773513758,18.0,41.0,1.0,33.0,,13.0,33.30769230769231,7.307354917987486,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,41.0
23,n01616318,vulture,http://wordnet-rdf.princeton.edu/wn30/01616318-n,1300,50,8,1,12,-0.33806170189140694,16.0,45.0,5.0,21.4,7.4027022093287,7.0,31.714285714285715,8.750510189207745,34.0,34.0,1,0.0,,,,1.0,34.0,,16.0,45.0
24,n01622779,"great grey owl, great gray owl, Strix nebulosa",http://wordnet-rdf.princeton.edu/wn30/01622779-n,1300,50,15,3,17,-0.9036961141150641,13.0,59.0,5.0,27.6,11.036303729057117,12.0,37.5,10.66429897964572,28.0,49.0,5,-1.4999999999999996,1.0,28.0,,4.0,41.5,5.196152422706632,28.0,49.0
25,n01629819,"European fire salamander, Salamandra salamandra",http://wordnet-rdf.princeton.edu/wn30/01629819-n,1300,50,2,0,2,0.0,34.0,38.0,,,,2.0,36.0,2.8284271247461903,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,38.0
26,n01630670,"common newt, Triturus vulgaris",http://wordnet-rdf.princeton.edu/wn30/01630670-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
27,n01631663,eft,http://wordnet-rdf.princeton.edu/wn30/01631663-n,1300,50,5,0,5,-1.4999999999999996,14.0,40.0,1.0,16.0,,4.0,25.0,11.604596790352806,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,40.0
28,n01632458,"spotted salamander, Ambystoma maculatum",http://wordnet-rdf.princeton.edu/wn30/01632458-n,1300,50,13,1,14,-2.0412414523193148,15.0,56.0,2.0,24.5,13.435028842544403,12.0,33.75,10.609815352690253,26.0,33.0,2,0.0,1.0,26.0,,1.0,33.0,,15.0,56.0
29,n01632777,"axolotl, mud puppy, Ambystoma mexicanum",http://wordnet-rdf.princeton.edu/wn30/01632777-n,1300,50,1,0,1,0.0,49.0,49.0,,,,1.0,49.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,49.0
30,n01641577,"bullfrog, Rana catesbeiana",http://wordnet-rdf.princeton.edu/wn30/01641577-n,1300,50,4,0,4,0.0,16.0,37.0,2.0,22.0,8.48528137423857,2.0,31.0,8.48528137423857,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,37.0
31,n01644373,"tree frog, tree-frog",http://wordnet-rdf.princeton.edu/wn30/01644373-n,1300,50,2,0,2,0.0,29.0,41.0,,,,2.0,35.0,8.48528137423857,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,41.0
32,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",http://wordnet-rdf.princeton.edu/wn30/01644900-n,1300,50,6,0,6,-1.7888543819998322,12.0,46.0,1.0,12.0,,5.0,40.0,3.6742346141747673,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,46.0
33,n01664065,"loggerhead, loggerhead turtle, Caretta caretta",http://wordnet-rdf.princeton.edu/wn30/01664065-n,1300,50,12,0,13,-1.9188064472004949,18.0,52.0,2.0,22.5,6.363961030678928,11.0,36.18181818181818,8.506681865665152,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,52.0
34,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",http://wordnet-rdf.princeton.edu/wn30/01665541-n,1300,50,20,0,23,-0.6390096504226939,12.0,67.0,8.0,24.875,6.424006315599102,15.0,29.066666666666666,14.28519046658695,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,67.0
35,n01667114,mud turtle,http://wordnet-rdf.princeton.edu/wn30/01667114-n,1300,50,3,0,3,0.7071067811865478,19.0,40.0,2.0,29.5,14.849242404917497,1.0,19.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,40.0
36,n01667778,terrapin,http://wordnet-rdf.princeton.edu/wn30/01667778-n,1300,50,15,0,15,-2.1572774865200257,19.0,47.0,2.0,26.0,9.899494936611665,13.0,37.07692307692308,5.3613048545657,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,47.0
37,n01669191,"box turtle, box tortoise",http://wordnet-rdf.princeton.edu/wn30/01669191-n,1300,50,6,0,6,-1.7888543819998322,18.0,48.0,1.0,18.0,,5.0,34.6,9.154233993076646,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,48.0
38,n01675722,banded gecko,http://wordnet-rdf.princeton.edu/wn30/01675722-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
39,n01677366,"common iguana, iguana, Iguana iguana",http://wordnet-rdf.princeton.edu/wn30/01677366-n,1300,50,17,0,25,-1.5000000000000004,15.0,42.0,5.0,29.4,8.049844718999243,20.0,29.85,8.374617037591378,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,42.0
40,n01682714,"American chameleon, anole, Anolis carolinensis",http://wordnet-rdf.princeton.edu/wn30/01682714-n,1300,50,4,0,4,0.0,25.0,38.0,,,,4.0,32.5,6.557438524302,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,38.0
41,n01685808,"whiptail, whiptail lizard",http://wordnet-rdf.princeton.edu/wn30/01685808-n,1300,50,1,0,1,0.0,36.0,36.0,,,,1.0,36.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,36.0
42,n01687978,agama,http://wordnet-rdf.princeton.edu/wn30/01687978-n,1300,50,3,0,3,-0.7071067811865472,18.0,38.0,1.0,18.0,,2.0,37.0,1.4142135623730951,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,38.0
43,n01688243,"frilled lizard, Chlamydosaurus kingi",http://wordnet-rdf.princeton.edu/wn30/01688243-n,1117,50,11,1,14,-2.0412414523193148,17.0,42.0,2.0,23.5,6.363961030678928,12.0,30.083333333333332,9.28790350483636,32.0,32.0,1,0.0,1.0,32.0,,,,,17.0,42.0
44,n01689811,alligator lizard,http://wordnet-rdf.princeton.edu/wn30/01689811-n,1300,50,6,0,6,0.0,15.0,38.0,3.0,15.666666666666666,0.5773502691896257,3.0,29.333333333333332,9.60902353693305,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,38.0
45,n01692333,"Gila monster, Heloderma suspectum",http://wordnet-rdf.princeton.edu/wn30/01692333-n,1300,50,9,1,13,-3.17542648054294,17.0,44.0,1.0,17.0,,12.0,26.25,8.802117513829995,17.0,17.0,1,0.0,,,,1.0,17.0,,17.0,17.0
46,n01693334,"green lizard, Lacerta viridis",http://wordnet-rdf.princeton.edu/wn30/01693334-n,1300,50,4,0,4,0.0,19.0,48.0,2.0,20.5,2.1213203435596424,2.0,39.0,12.727922061357855,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,48.0
47,n01694178,"African chameleon, Chamaeleo chamaeleon",http://wordnet-rdf.princeton.edu/wn30/01694178-n,1300,50,7,2,7,-2.0412414523193148,19.0,42.0,1.0,34.0,,6.0,32.833333333333336,7.730890418746515,41.0,56.0,2,0.0,,,,2.0,48.5,10.606601717798213,19.0,42.0
48,n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",http://wordnet-rdf.princeton.edu/wn30/01695060-n,1300,50,3,1,4,0.0,21.0,28.0,2.0,24.5,4.949747468305833,2.0,25.0,0.0,17.0,33.0,3,0.0,3.0,27.333333333333332,8.962886439832502,,,,21.0,28.0
49,n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus",http://wordnet-rdf.princeton.edu/wn30/01697457-n,1300,50,5,1,6,-0.7071067811865475,29.0,43.0,2.0,33.5,6.363961030678928,4.0,35.0,5.354126134736337,26.0,26.0,1,0.0,1.0,26.0,,,,,26.0,26.0
50,n01698640,"American alligator, Alligator mississipiensis",http://wordnet-rdf.princeton.edu/wn30/01698640-n,1300,50,25,1,32,-0.5163977794943223,17.0,51.0,12.0,29.75,7.652985157321411,20.0,34.65,7.278483069257885,16.0,34.0,7,0.28867513459481287,4.0,21.25,8.5,3.0,16.666666666666668,1.1547005383792515,16.0,34.0
51,n01704323,triceratops,http://wordnet-rdf.princeton.edu/wn30/01704323-n,1266,50,29,3,29,-0.4974683381630911,8.0,44.0,11.0,21.272727272727273,7.21236312301189,18.0,31.444444444444443,6.446359868604572,17.0,33.0,3,0.7071067811865478,2.0,20.0,4.242640687119285,1.0,33.0,,17.0,33.0
52,n01728572,"thunder snake, worm snake, Carphophis amoenus",http://wordnet-rdf.princeton.edu/wn30/01728572-n,1300,50,7,1,7,-2.0412414523193148,15.0,55.0,1.0,28.0,,6.0,29.666666666666668,16.08311744241976,18.0,18.0,1,0.0,,,,1.0,18.0,,18.0,18.0
53,n01728920,"ringneck snake, ring-necked snake, ring snake",http://wordnet-rdf.princeton.edu/wn30/01728920-n,1300,50,10,0,10,-1.5000000000000002,28.0,44.0,2.0,31.5,0.7071067811865476,8.0,36.5,5.0426750270636544,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,44.0
54,n01729322,"hognose snake, puff adder, sand viper",http://wordnet-rdf.princeton.edu/wn30/01729322-n,1300,50,9,0,9,-2.474873734152916,29.0,65.0,1.0,29.0,,8.0,38.875,11.58123482190047,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,65.0
55,n01729977,"green snake, grass snake",http://wordnet-rdf.princeton.edu/wn30/01729977-n,1300,50,7,0,7,-0.9486832980505135,22.0,32.0,2.0,27.5,2.1213203435596424,5.0,27.6,4.8270073544588685,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,32.0
56,n01734418,"king snake, kingsnake",http://wordnet-rdf.princeton.edu/wn30/01734418-n,1300,50,10,0,10,-0.40824829046386274,17.0,45.0,4.0,25.25,5.909032633745278,6.0,36.5,7.092249290598858,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,45.0
57,n01735189,"garter snake, grass snake",http://wordnet-rdf.princeton.edu/wn30/01735189-n,1300,50,1,0,1,0.0,35.0,35.0,,,,1.0,35.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,35.0
58,n01737021,water snake,http://wordnet-rdf.princeton.edu/wn30/01737021-n,1300,50,1,0,1,0.0,49.0,49.0,,,,1.0,49.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,49.0
59,n01739381,vine snake,http://wordnet-rdf.princeton.edu/wn30/01739381-n,1300,50,25,0,29,-1.2087344460380702,18.0,45.0,7.0,26.428571428571427,6.996597812678742,22.0,30.0,6.996597812678742,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,45.0
60,n01740131,"night snake, Hypsiglena torquata",http://wordnet-rdf.princeton.edu/wn30/01740131-n,1300,50,36,1,40,-1.5,17.0,51.0,8.0,25.375,6.696214282285605,32.0,32.8125,7.583673039773903,27.0,53.0,2,0.0,,,,2.0,40.0,18.384776310850235,27.0,53.0
61,n01742172,"boa constrictor, Constrictor constrictor",http://wordnet-rdf.princeton.edu/wn30/01742172-n,1300,50,101,5,126,-0.9922778767136676,13.0,65.0,35.0,26.65714285714286,6.729840733815401,91.0,35.54945054945055,8.961973661921347,27.0,38.0,5,-0.4082482904638629,2.0,31.0,5.656854249492381,3.0,37.0,1.0,27.0,38.0
62,n01744401,"rock python, rock snake, Python sebae",http://wordnet-rdf.princeton.edu/wn30/01744401-n,1071,50,34,4,42,-1.788854381999832,16.0,52.0,7.0,25.428571428571427,13.252133700617708,35.0,32.05714285714286,8.159955511495134,33.0,46.0,4,-1.1547005383792515,1.0,36.0,,3.0,40.333333333333336,6.658328118479393,16.0,52.0
63,n01748264,"Indian cobra, Naja naja",http://wordnet-rdf.princeton.edu/wn30/01748264-n,1300,50,79,1,90,-1.6855907617853794,11.0,60.0,16.0,24.0,7.737355275975549,74.0,32.7027027027027,9.373132295753178,19.0,19.0,1,0.0,1.0,19.0,,,,,11.0,60.0
64,n01749939,green mamba,http://wordnet-rdf.princeton.edu/wn30/01749939-n,1300,50,15,0,21,-1.5764815627361648,17.0,50.0,4.0,21.25,6.551081335677848,17.0,34.94117647058823,8.891502883619381,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,50.0
65,n01751748,sea snake,http://wordnet-rdf.princeton.edu/wn30/01751748-n,1300,50,7,0,7,-0.948683298050514,19.0,39.0,2.0,26.5,2.1213203435596424,5.0,31.4,7.503332592921629,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,39.0
66,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",http://wordnet-rdf.princeton.edu/wn30/01753488-n,1300,50,1,0,1,0.0,31.0,31.0,,,,1.0,31.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,31.0
67,n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus",http://wordnet-rdf.princeton.edu/wn30/01755581-n,1300,50,10,0,13,-3.17542648054294,17.0,53.0,1.0,27.0,,12.0,33.416666666666664,11.774072697193095,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,53.0
68,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes",http://wordnet-rdf.princeton.edu/wn30/01756291-n,1300,50,2,0,2,0.0,36.0,45.0,,,,2.0,40.5,6.363961030678928,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,45.0
69,n01768244,trilobite,http://wordnet-rdf.princeton.edu/wn30/01768244-n,1300,50,2,0,2,0.0,50.0,59.0,,,,2.0,54.5,6.363961030678928,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,59.0
70,n01770081,"harvestman, daddy longlegs, Phalangium opilio",http://wordnet-rdf.princeton.edu/wn30/01770081-n,1300,50,2,0,2,0.0,27.0,38.0,,,,2.0,32.5,7.7781745930520225,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,38.0
71,n01770393,scorpion,http://wordnet-rdf.princeton.edu/wn30/01770393-n,1300,50,18,1,19,-1.0757057484009538,15.0,54.0,5.0,25.8,7.328028384224504,14.0,36.42857142857143,7.490653516876222,31.0,31.0,1,0.0,,,,1.0,31.0,,15.0,54.0
72,n01773157,"black and gold garden spider, Argiope aurantia",http://wordnet-rdf.princeton.edu/wn30/01773157-n,1300,50,1,1,1,0.0,32.0,32.0,,,,1.0,32.0,,12.0,12.0,1,0.0,1.0,12.0,,,,,12.0,12.0
73,n01773549,"barn spider, Araneus cavaticus",http://wordnet-rdf.princeton.edu/wn30/01773549-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
74,n01773797,"garden spider, Aranea diademata",http://wordnet-rdf.princeton.edu/wn30/01773797-n,1300,50,1,0,1,0.0,12.0,12.0,1.0,12.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,12.0
75,n01774384,"black widow, Latrodectus mactans",http://wordnet-rdf.princeton.edu/wn30/01774384-n,1300,50,1,0,1,0.0,31.0,31.0,,,,1.0,31.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,31.0
76,n01774750,tarantula,http://wordnet-rdf.princeton.edu/wn30/01774750-n,1300,50,25,2,32,-0.657951694959769,17.0,52.0,11.0,26.636363636363637,5.277740563398836,21.0,35.904761904761905,7.886093848698238,13.0,31.0,3,0.7071067811865478,2.0,22.0,12.727922061357855,1.0,23.0,,17.0,52.0
77,n01775062,"wolf spider, hunting spider",http://wordnet-rdf.princeton.edu/wn30/01775062-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
78,n01776313,tick,http://wordnet-rdf.princeton.edu/wn30/01776313-n,1300,50,1,0,1,0.0,19.0,19.0,1.0,19.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,19.0
79,n01784675,centipede,http://wordnet-rdf.princeton.edu/wn30/01784675-n,1300,50,6,0,6,-1.7888543819998322,20.0,40.0,1.0,23.0,,5.0,32.6,7.797435475847172,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,40.0
80,n01795545,black grouse,http://wordnet-rdf.princeton.edu/wn30/01795545-n,1300,50,3,0,3,0.0,31.0,42.0,,,,3.0,38.0,6.082762530298219,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,42.0
81,n01796340,ptarmigan,http://wordnet-rdf.princeton.edu/wn30/01796340-n,1300,50,3,0,3,0.7071067811865478,27.0,33.0,2.0,30.0,4.242640687119285,1.0,31.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,33.0
82,n01797886,"ruffed grouse, partridge, Bonasa umbellus",http://wordnet-rdf.princeton.edu/wn30/01797886-n,1300,50,2,0,2,0.0,38.0,39.0,,,,2.0,38.5,0.7071067811865476,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0,39.0
83,n01798484,"prairie chicken, prairie grouse, prairie fowl",http://wordnet-rdf.princeton.edu/wn30/01798484-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
84,n01806143,peacock,http://wordnet-rdf.princeton.edu/wn30/01806143-n,1300,50,3,0,4,-1.1547005383792515,25.0,31.0,1.0,31.0,,3.0,28.333333333333332,2.886751345948129,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,31.0
85,n01806567,quail,http://wordnet-rdf.princeton.edu/wn30/01806567-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
86,n01807496,partridge,http://wordnet-rdf.princeton.edu/wn30/01807496-n,1300,50,2,0,2,0.0,32.0,39.0,,,,2.0,35.5,4.949747468305833,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,39.0
