,mean_top1_train,mean_top1_val,mean_top5_train,mean_top5_val,pred_train,pred_val
n02782093,0.8653846153846154,0.88,0.9576923076923077,0.92,[417 417 417 ... 417 417 417],"[755 815 417 417 417 417 417 541 417 417 417 417 417 417 417 417 417 562
 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417 807 417
 417 417 417 417 417 417 417 417 417 417 660 417 417 417]"
n02088364,0.6946153846153846,0.64,0.9476923076923077,0.9,[162 161 162 ... 161 162 164],"[238 162 162 162 164 166 162 162 166 162 208 452 162 161 162 161 162 162
 173 162 162 162 162 162 162 161 162 161 162 162 161 162 161 162 162 161
 162 162 162 237 846 162 166 162 162 162 173 162 162 162]"
n04152593,0.39621152328334647,0.16,0.8926598263614838,0.72,[782 782 782 ... 526 664 664],"[782 782 527 527 620 851 782 673 527 598 664 664 527 664 851 526 527 526
 664 851 482 851 782 527 548 916 754 664 782 782 782 743 605 851 527 527
 620 673 851 851 620 782 526 851 664 526 664 851 879 527]"
n02277742,0.9138461538461539,0.84,0.9915384615384616,1.0,[322 322 322 ... 322 322 322],"[322 322 322  82 322 322 322 322 322 322  78 322 322 322 322 322 322 322
 322 321 322 322 324 984 326 322 322 322 322 322 322 322 322 326 322 322
 322 946 322 322 322 322 322 322 322 322 322 322 322 322]"
n02105855,0.6530769230769231,0.6,0.963076923076923,0.92,[162 230 231 ... 230 230 231],"[230 230 230 230 231 230 231 230 169 160 230 230 231 231 187 230 231 230
 231 230 230 231 207 231 230 230 230 249 230 230 230 230 230 230 230 231
 231 263 230 361 230 250 230 230 230 230 230 230 231 229]"
n02167151,0.6638461538461539,0.62,0.9761538461538461,0.98,[302 310 310 ... 302 302 302],"[302 300 300 302 305 303 302 300 300 302 302 300 302 302 302 303 302 302
 302 302 302 302 302 300 302 302 302 300  75 302 302 308 302 302 304 300
 302 305 302 302 302 304 304 302 302 302 312 302 302 305]"
n02487347,0.7715384615384615,0.68,0.9292307692307692,0.8,[373 177 373 ... 373 373 373],"[373 298 372 373 372 298 371 373 373 381 373 374 373 373 373 373 370 373
 373 298 269 370 373 373 373 373 373 370 373 373 373 378 373 373 367 360
 373 373 373 373 370 373 373 373 373 373 373 373 373 373]"
n04584207,0.7707692307692308,0.82,0.9215384615384615,0.9,[903 903 903 ... 699 903 655],"[903 903 638 903 903 638 903 903 903 903 903 903 903 903 903 903 841 903
 903 903 903 869 903 903 903 903 655 903 903 903 903 903 903 903 655 424
 903 903 903 903 903 903 954 903 601 903 903 903 903 903]"
n02500267,0.7538461538461538,0.82,0.9415384615384615,0.94,[384 384 384 ... 377 384 384],"[384 384 384 384 384 384 384 384 378 384 384 384 384  24 384 384 384 384
 384 384 375 384 384 384 384 384 384 384 384 384 384 384 384 384 384 384
 384 384 105 369 384 384 361 384 384 383 384 384 383 381]"
n02098105,0.7161538461538461,0.42,0.9315384615384615,0.94,[202 182 522 ... 202 202 202],"[185 189 184 202 202 191 202 266 266 202 184 182 202 184 191 226 202 184
 202 202 182 202 189 182 265 184 202 202 202 184 202 202 266 170 194 202
 182 202 168 189 194 226 175 202 202 202 202 202 184 189]"
n03393912,0.9138461538461539,0.94,0.9838461538461538,0.98,[565 565 565 ... 565 565 565],"[565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 565 791
 565 565 565 565 565 565 565 867 540 565 565 565 565 565 565 565 565 565
 565 565 565 565 565 565 565 565 565 565 565 565 565 565]"
n02971356,0.8407692307692308,0.62,0.9592307692307692,0.84,[478 478 478 ... 478 478 478],"[519 205 478 478 478 478 478 478 549 478 478 478 529 478 435 478 478 478
 478 478 492 478 742 478 478 478 446 478 478 879 637 726 478 478 478 700
 887 748 186 478 154 478 877 478 471 478 478 770 478 478]"
n02526121,0.7545064377682403,0.58,0.9390557939914163,0.82,[390 390 114 ...  54 677 390],"[390 390 390 390 390 390  65  33 390 391  52 390 391 390 395 390 390 390
 390 390 973 390 390 518 390  65 390  58 467  33 325 109 390 390 112 390
 390 973 973 390  64 390 923 390 390  65 390 390 391 390]"
n02497673,0.8969230769230769,0.76,0.9669230769230769,0.9,[383 383 383 ... 383 270 383],"[383 383 383 370 384 383 383 383 383 383 383 383 733 383 384 383 383 383
 383 383 384 384 383 383 383 280 383 383 383 383 383 383 384 383 383 383
 383 383 383 383 383 383 383 562 383 383 368 383 916 703]"
n02009229,0.7953846153846154,0.72,0.9461538461538461,0.96,[131 131 131 ... 131 131 138],"[131 131 131  50 131 131 131 131 134 137 134 131 131 131 131 131 131 131
 144 131  23 135 131 131 131 131 131 131 131 131 128 131  23 131 131 131
 131 131 131  17  85 131  23 131 137 131 131 131 131 136]"
n01855032,0.845749342681858,0.82,0.9631901840490797,0.94,[141  98  98 ...  98 137  97],"[ 98  98  98  98  98  98  98  98  98 137  67  98 141  98  98  98  99  98
  98  98  98  98  98  98  98  98  98  98 138  98  98  98 137 128  98  98
  98  98  98  98  98 136  98  98  98  98  98  98 139  98]"
n02317335,0.9115384615384615,0.86,0.9692307692307692,0.94,[327 327 327 ... 327 327 327],"[327 327 327 327 327 327 327 327 327 327 327 975 327 723 327 116 327 327
 327 327 327 327 121 327 327 327 973 327 327 327 327 327 327 327 327 327
 327 327 327 327 327 327 327 421 327 327 839 327 327 327]"
n02114367,0.6915384615384615,0.74,0.943076923076923,0.94,[269 271 269 ... 272 270 269],"[269 272 270 269 278 270 269 269 269 269 269 269 269 272 269 269 104 269
 269 269 249 269 269 269 269 269 269 270 269 269 269 269 269 224 269 269
 269 269 269 269 269 248 269 269 269 269 269 272 347 272]"
n03793489,0.6223076923076923,0.32,0.8838461538461538,0.64,[600 754 674 ... 673 673 485],"[696 606 527 737 710 673 673 697 673 674 478 673 519 527 681 508 673 673
 597 673 673 508 798 673 527 673 527 664 673 620 673 527 968 526 681 893
 785 673 633 664 527 261 648 527 673 673 527 527 673 618]"
n07747607,0.8238461538461539,0.74,0.9753846153846154,0.92,[950 950 950 ... 950 950 950],"[950 722 950 987 950 950 950 950 796 950 950 950 950 951 950 950 950 950
 950 951 950 950 722 950 951 950 950 950 950 950 595 950 950 950 950 950
 950 950 950 951 949 950 965 950 950 950 950 951 950 522]"
n12768682,0.8630769230769231,0.84,0.963076923076923,0.94,[990 990 455 ... 990 990 990],"[990 990 990 990 990 990 990 990 990 990 990 990  66 990 990 990 990 997
 990 990 990 995 990 990 990 988 990 990 990 990 990 990 990 990 990 990
 766 116 955 990 990 990 990 990 990 990 990 990 990 305]"
n01496331,0.7207692307692307,0.66,0.9415384615384615,0.96,[674   6   5 ...   5   5   5],"[828 461   5 112   5 109   5   6   5   5   5   5   5   5   3   5   5   5
 394   5   5 329   5   6   6 148   5   6   5 394   6   5   5   5   5   5
   6   5   5   5 390   5   5   5   6   5   5   5   5   5]"
n02509815,0.9438461538461539,0.94,0.9830769230769231,0.96,[387 387 387 ... 387 387 387],"[387 387 299 387 387 387 387 387 387 388 387 387 387 387 387 387 387 387
 388 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387 387
 387 387 387 387 387 387 387 387 387 387 387 387 387 387]"
n07753113,0.8423076923076923,0.82,0.9492307692307692,0.9,[952 952 952 ... 952 952 952],"[988 952 952 952 952 952 952 306 952 868 952 952 952 952 952 950 952 943
 952 952 952 952 952 988 952 952 952 955 952 629 952 952 952 952 952 952
 952 952 952 952 952 952  90 952 952 952 952 952 952 952]"
n03617480,0.8323076923076923,0.8,0.9546153846153846,0.9,[412 614 614 ... 614 614 614],"[912 577 614 775 614 614 614 614 614 614 614 614 614 614 614 614 614 614
 614 614 614 614 614 614 614 614 614 614 614 614 775 614 614 894 614 614
 421 612 614 614 982 982 614 789 614 614 614 614 614 614]"
n01955084,0.8769230769230769,0.86,0.9646153846153847,0.98,[116 116 116 ... 116 116 116],"[116 116 116 327 116 116 116 116 116 677 116 116 455 116 116 116 116 116
 116 116 116 116 116 126 116 116 113 116 116 116 116 116 116 116 116 116
 116 116 116 116 116 116 328 116 116 116 116 116 228 116]"
n09399592,0.6884615384615385,0.44,0.9623076923076923,0.94,[976 976 976 ... 974 976 976],"[460 460 972 437 976 976 976 975 976 975 976 975 977 976 972 972 972 976
 483 677 460 460 976 976 978 976 437 976 976 973 976 976 978 460 976 976
 976 977 483 972 976 718 976 976 977 976 978 972 976 972]"
n07930864,0.5638461538461539,0.36,0.9069230769230769,0.68,[515 968 968 ... 968 968 504],"[968 931 443 968 968 412 868 441  79 968 968 968 504 504 666 762 967 968
 968 968 773 504 968 495 504 968 960 968 737 968 659 572 968 659 809 659
 572 643 969 968 659 813 968 441 922 968 746 968 747 463]"
n01990800,0.7530769230769231,0.5,0.9030769230769231,0.68,[126 126 314 ... 126 126 126],"[126 599  71 126 126 107 126 712   1 790 303 991 126 984 113  77 126 126
 126 115 126 126 314 126 126 961 304 113 126 119 126 987 124 126 126 125
 126 126 126 126 126 305 126 124 126 126 126 995 644 310]"
n02123597,0.9176923076923077,0.94,0.9784615384615385,0.98,[284 284 284 ... 284 284 896],"[284 284 284 284 284 287 284 284 284 284 284 284 284 284 284 284 284 284
 284 284 284 284 284 284 285 284 284 284 284 284 284 284 284 284 284 284
 284 284 284 284 284 284 284 284 284 284 284 284 287 284]"
n04509417,0.7446153846153846,0.7,0.9176923076923077,0.86,[671 671 880 ... 880 880 880],"[880 671 880 775 880 880 880 870 880 880 880 880 880 880 972 420 880 880
 880 880 880 671 671 413 880 880 880 880 444 880 880 671 865 880 610 880
 880 880 880 880 612 880 880 880 743 880 880 817 880 880]"
n04239074,0.6107692307692307,0.36,0.8969230769230769,0.64,[799 789 799 ... 799 799 799],"[807 799 894 799 894 874 753 799 675 872 819 706 453 799 799 539 799 548
 799 523 743 437 706 877 799 799 799 789 655 656 706 424 799 743 799 799
 799 799 648 564 799 799 705 717 480 757 799 564 532 894]"
n03777568,0.8815384615384615,0.86,0.9738461538461538,1.0,[661 661 661 ... 661 661 843],"[661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 717 471 661
 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661 661
 552 661 661 661 661 661 561 661 717 717 575 661 661 661]"
n02692877,0.9292307692307692,0.8,0.9784615384615385,0.9,[405 405 405 ... 405 405 405],"[405 405 405 405 405 405 405 405 405 405 724 405 405 405 405 405 405 405
 405 405 405 405 405 405 405 405 405 405 517 405 405 405 839 405 405 701
 405 405 812 405 920 921 839 405 405 701 405 417 405 405]"
n01532829,0.8846153846153846,0.88,0.9615384615384616,0.94,[85 12 12 ... 12 12 12],"[ 12 677  12  12  12  12  10  12  12  12  12  12  12  12  12  85  12  21
  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12 863  12
  12  12  12  12  85  12  12  12  12  12  12  12  12  12]"
n02120505,0.7,0.7,0.926923076923077,0.94,[280 272 280 ... 272 278 280],"[280 280 280 280 280 280 280 272 280 280 272 272 342 277 271 280 280 280
 280 273 104 280 280 278 280 280 280 280 280 280 277 280 280 277 280 280
 272 280 279 280 280 280 280 280 280 278 280 280 348 280]"
n04310018,0.963076923076923,0.94,0.9938461538461538,0.98,[820 820 820 ... 820 820 820],"[820 820 820 820 820 820 820 820 562 565 820 820 820 820 820 820 820 595
 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820
 820 820 820 820 820 820 820 820 820 820 820 820 820 820]"
n02091134,0.7376923076923076,0.72,0.93,0.94,[338 172 172 ... 172 172 170],"[172 211 176 172 176 171 172 172 172 238 172   9 172 172 172 172 172 172
 172 172 173 172 172 172 172 176 172 172 172 172 172 172 232 172 172 172
 172 246 172 172 172 172 172 172 158 253 254 172 231 172]"
n03590841,0.9661538461538461,0.94,0.9938461538461538,0.94,[607 607 607 ... 607 607 607],"[607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 619 607
 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607 607
 607 607 607 497 607 607 607 607 607 607 607 607 607 497]"
n02791124,0.7807692307692308,0.62,0.9646153846153847,0.92,[423 424 857 ... 423 423 423],"[423 423 424 424 423 424 423 424 423 423 423 423 424 461 423 424 423 423
 423 423 423 423 423 423 424 423 423 423 464 423 424 423 423 894 424 423
 423 424 423 424 423 424 423 424 424 423 830 424 423 423]"
n02112706,0.7411214953271028,0.64,0.8990654205607477,0.84,[182 254 262 ... 262 234 254],"[262 262 262 262 262 262 262 262 191 262 262 252 262 225 262 262 262 262
 262 151 223 790 262 262 262 245 262 184 262 182 262 262 262 262 234 262
 262 262 262 242 252 193 262 262 184 191 197 252 262 159]"
n04447861,0.82,0.64,0.953076923076923,0.88,[756 861 920 ... 861 861 861],"[861 861 861 519 861 861 999 896 861  78 861 861 861 861 861 861 861 861
 861 428 861 861 849 861 892 753 861 861 861 648 999 861 861 861 861 731
 622 594 861 861 861 868 861 861 412 861 469 999 861 816]"
n03840681,0.8107692307692308,0.8,0.9292307692307692,0.92,[982 684 684 ... 684 641 684],"[684 684 684 684 684 684 684 684 684 684 684 684 684 593 593 684 684 684
 112 684 684 684 684 684 684 684 918 684 684 684 684 633 684 684 450 684
  78 916 774 684 419 684 684 684 684 684 684 684 684 684]"
n07717556,0.813076923076923,0.68,0.9546153846153846,0.84,[942 942 942 ... 941 942 942],"[942 942 942 947 942 942 942 658 942 942 942 940 942 942 940 942 942 942
 942 942 942 942 942 607 954 942 722 942 941 942 942 942 942 942 942 942
 942 934 325 962 942 949 937 942 953 942 942 942 950 964]"
n02113186,0.6453846153846153,0.62,0.9076923076923077,0.92,[162 253 264 ... 229 264 264],"[225 253 264 253 264 264 264 264 263 264 251 264 264 264 264 273 248 264
 263 264 263 264 184 264 264 195 264 264 264 264 227 264 172 264 264 264
 264 264 977 263 264 217 230 264 264 264 348 264 151 264]"
n02823428,0.7946153846153846,0.74,0.9476923076923077,0.92,[440 440 716 ... 440 440 737],"[440 440 611 440 440 737 440 440 440 916 726 440 440 440 440 440 440 440
 440 784 440 737 440 440 440 440 737 427 440 440 440 440 440 440 441 440
 440 440 907 440 907 440 440 440 440 440 440 440 907 650]"
n07697313,0.8607692307692307,0.86,0.9715384615384616,0.96,[455 933 933 ... 933 933 933],"[933 933 933 933 947 934 933 933 933 933 933 933 933 933 933 933 923 933
 933 933 933 933 933 933 933 933 933 933 933 933 948 933 933 933 933 932
 933 933 933 415 933 928 933 933 933 933 933 933 933 933]"
n04264628,0.46698564593301434,0.24,0.9435406698564593,0.82,[810 810 810 ... 508 878 810],"[620 810 878 810 810 878 508 810 878 810 488 810 878 878 878 810 810 171
 878 878 878 681 878 508 508 878 681 810 487 508 878 648 791 878 810 810
 878 878 605 662 878 810 673 508 508 508 878 527 508 508]"
n03047690,0.7169230769230769,0.54,0.9092307692307692,0.8,[502 600 502 ... 498 774 502],"[502 597 630 502 788 502 502 887 774 502 502 502 502 774 774 788 502 502
 502 774 502 502 502 502 502 502 502 502 502 851 774 772 502 224 502 774
  69 806 502 491 788 502 502 630 502 502 467 774 788 774]"
n03180011,0.6738461538461539,0.58,0.9507692307692308,0.92,[527 527 782 ... 527 527 620],"[786 664 526 527 527 527 673 613 527 851 811 527 526 527 527 527 673 527
 527 527 527 526 527 527 851 527 527 527 527 527 527 261 688 782 688 881
 527 681 527 527 527 810 664 527 527 527 681 664 527 527]"
n02326432,0.8115384615384615,0.86,0.9653846153846154,0.96,[331 331 331 ... 331 331 331],"[331 331 331 331 331 331 331 331 331 331 331 331 331 331 331 331 331 330
 331 331 330 330 331 331 330 331 331 331 331 348 330 331 331 331 331 331
 331 331 331 331 331 331 331 331 331 331 331 234 331 331]"
n04254777,0.8646153846153846,0.68,0.9646153846153847,0.76,[806 806 806 ... 806 806 806],"[806 459 806 845 806 806 921 806 516 806 806 806 806 806 765 655 702 658
 806 496 655 806 806 824 806 806 806 443 806 806 806 806 806 806 806 806
 858 806 903 806 806 806 806 806 806 806 806 774 496 806]"
n07892512,0.7015384615384616,0.52,0.9338461538461539,0.82,[966 966 966 ... 966 966 966],"[966 966 966 783 966 711 966 470 966 966 737 966 907 966 966 966 966 966
 966 966 966  75 966 916 966 868 907 966 572 907 966 966 966 621 572 966
 747 732 966 966 966 572 907 658 650 907 593 572 907 907]"
n02124075,0.6407692307692308,0.46,0.94,0.76,[285 285 285 ... 285 287 539],"[285 285 285 281 284 282 285 281 285 285 285 281 285 736 330 281 281 285
 904 285 548 285 285 285 463 285 285 285 285 831 508 285 281 291 162 281
 797 285 620 894 224 285 282 287 284 285 282 285 285 281]"
n04273569,0.7938461538461539,0.74,0.9607692307692308,0.98,[466 814 693 ... 814 814 814],"[814 814 814 718 814 814 510 814 814 814 814 814 814 625 814 814 814 625
 814 814 814 876 814 814 814 814 814 472 814 625 814 814 814 814 975 814
 814 554 814 814 814 554 625 814 814 814 814 871 814 319]"
n02391049,0.96,0.94,0.9907692307692307,0.98,[372 340 340 ... 340 340 340],"[340 340 340 340 340 340 978 340 340 340 340 340 340 340 340 340 340 340
 340 340 340 340 340 340 340 340 340 340 340 340 340 354   9 340 340 340
 340 340 340 340 340 340 340 340 340 340 340 340 340 340]"
n02107142,0.7392307692307692,0.74,0.9523076923076923,0.94,[236 237 236 ... 236 236 236],"[237 236 236 236 236 236 236 236 236 236 236 236 236 236 236 236 191 236
 236 236 240 236 197 236 236 236 236 234 234 236 236 236 234 236 267 236
 236 225 179 234 236 236 236 236 236 236 234 234 236 236]"
n03920288,0.7318087318087318,0.46,0.8981288981288982,0.66,"[712 712 712 712 438 712 617 712 712 691 712 712 712 712 712 712 712 712
 712 712 712 712 712 688 712 712 712 712 712 712 712 712 712 310 712 712
 712 647 712 712 712 712 712 712 712 712 712 712 898 712 828 712 712 878
 712 691 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712 712
 828 712 107 712 845 712 712 712 711 438 844 898 712 712 712 712 712 712
 712 712 712 712 712 507 712 117 712 712 712 695 712 712 712 712 712 878
 577 647 712 712 712 712 712 691 712 712 712 769 712 712 712 712 712 712
 712 599 712 712 712 712 712 712 712 712 712 712 712 712 720 712 712 971
 712 712 712 898 845 712 712 827 971 712 712 836 678 771 633 712 712 712
 722 712 712 712 949 712 712 712 712 633 712 712 771 712 673 712 712 794
 712 712 712 712 712 931 712 452 712 684 617 712 712 577 712 712 551 712
 712 712 712 851 488 712 712 712 826 712 712 852 712 712 712 647 712 712
 868 712 415 712 712 438 773 712 674 712 712 712 619 712 712 712 712 551
 868 712 712 712 712 712 712 618 969 828 712 712 696 712 712 712 712 712
 712 712 971 712  61 427 967 712 712 712 712 712 712 712 691 712 478 712
 923 551 712 712 927 828 712 712 691 712 712 712 712 712 712 712 712 633
 712 712 647 712 712 712 712 712 712 712 712 712 712 712 712 473 712 712
 712 712 591 712 712 971 712 488 712 868 712 712 712 712 712 909 712 487
 712 712 712 712 712 712 712 712 678 712 712 971 828 712 712 712 712 712
 712 712 577 712 712 712 961 712 712 712 157 712 712 111 712 712 712 712
 712 712 845 712 712 606 712 712 712 712 712 712 577 455 712 712 577 712
 712 712 712 712 712 712 324 712 712 712 712 712 712 712 818 712 712 712
 712 712 712 712 712 712 712 712 712 691 451 712 712 712 712 712 712 617
 712 712 691 712 712 633 712 541 712 712 852 712 688 712 951 712 712 528
 868 712 712 712 712 712 463 696 712 105 828 712 712 712 712 712 712 680
 712 712 712 712 712 712 633 712 712 907 712 712 712 651 712 712 712 712
 712 712 712 712 633 987 712 712 712 712 551 712 712 712 712  76 712 712
 712 921 712 712 793 712 696 828 861 712 798 712 712 712 712 712 712 712
 712 712 712 712 712 712 971 551 712 712 712 712 818 712 712 712 712 712
 712 712 712 551 712 712 999 778 909 712 712 712 712 712 712 712 712 712
 712 712 712 712 498 868 111 712 712 712 712 610 455 711 712 712 712 712
 729 712 712 712 712 712 971 712 712 712 712 712 712 438 712 712 712 712
 712 712 712 712 712 712 577 504 712 712 712 712 577 712 712 712 438 768
 426 807 712 712 712 712 712 712 712 633 712 551 633 925 712 712 818 712
 528 712 712  77 712 633 712 712 876 712 712 696 455 712 712 478 712 712
 711 712 712 712 712 712 712 844 892 712 712 712 729 438 712 712 712 712
 446 712 855 851 892 861 712 712 712 712 712 712 712 818 473 712 712 712
 712 712 712 712 441 712 712 773 909 712 771 712 712 712 712 712 712 463
 604 712 712 712 712 712 712 712 712 712 712 712 712 712 712 868 712 712
 712 583 712 712 712 712 712 712 712 712 633 861  33 712 712 680 572 712
 712 712 712 712 898 712 712 712 966 712 852 712 712 712 712 712 712 488
 530 632 712 712 712 712 545 712 712 712 712 712 712 712 616 615 688 712
 712 712 589 712 712 712 712 712 712 712 712 712 438 712 438 712 541 712
 712 781 712 679 927 562 712 844 712 845 712 712 712 712 551 712 712 443
 474 712 712 818 712 712 837 712 551 712 712 712 712 712 712 712 712 712
 813 633 632 446 459 712 712 712 712 585 318 712 861 712 712 712 927 712
 712 600 712 712 712 712 712 420 712 712 574 712 712 712 818 712 793 712
 712 618 712 712 443 712 904 659 712 971 712 712 712 712 712 712 712 712
 712 696 712 712 971 712 712 712 712 712 712 712 712 826 712 633 712 712
 712 712 712 712 712 712 712 571 987 712 712 712 712 712 712 712 712 640
 712 712 712 438 712 712 712 712 712 688 778 712 892 577 712 845 680 712
 712 712 712 629 712 712 712 599 878 968 712 712 712 712 726 712 712 712
 712 712 577 712 712 712 712 712 551 712 712 551 712 712 712 729 712 712
 712 712 712 753 712 712 712 746]","[433 712 712 107 712 712 424 712 107 712 441 828 945 969 712 896 712 712
 674 719 427 618 712 712 549 712 712 712 712 470 712 107 455 845 967 712
 828 577 971 712 712 562 712 805 574 712 712 893 828 712]"
n04505470,0.7546153846153846,0.76,0.97,0.96,[878 878 878 ... 878 878 878],"[878 878 878 878 508 878 878 878 810 878 878 878 878 786 878 878 878 810
 878 878 878 652 508 878 526 878 878 878 878 810 878 878 878 878 878 878
 810 810 878 878 878 878 878 810 810 878 878 878 878 878]"
n02490219,0.7623076923076924,0.7,0.933076923076923,0.84,[377 377 377 ... 377 377 362],"[380 377 377 377 380 105 377 377 377 377 377 377 377 377 377 377 377 377
 377 334 377 382 377 382 377 372 377 377 382 377 377 379 377 377 377 298
 377 377 377 377 845 382 368 377 377 377 364 643 377 377]"
n03032252,0.8276923076923077,0.6,0.946923076923077,0.84,[498 498 498 ... 498 498 498],"[663 498 606 498 854 498 498 472 498 919 628 498 498 498 498 498 624 498
 921 498 440 498 707 498 867 498 424 498 498 598 619 498 682 498 498 498
 498 598 854 498 498 498 442 498 498 628 860 498 498 498]"
n04456115,0.8453846153846154,0.66,0.94,0.86,[862 862 862 ... 862 862 862],"[862 626 980 980 827 862 862 862 470 862 862 889 862 862 872 420 862 805
 862 862 862 880 862 862 862 862 456 862 862 862 862 784 862 862 862 862
 819 980 862 862 862 862 920 862 766 862 862 862 842 862]"
n02111889,0.8530769230769231,0.92,0.9715384615384616,1.0,[258 257 258 ... 258 258 258],"[258 258 258 258 258 260 258 258 248 258 258 258 258 258 258 258 258 258
 258 258 258 257 258 258 258 258 258 258 258 258 258 258 258 258 258 258
 258 258 258 258 258 258 258 258 258 258 258 258 258 267]"
n02690373,0.8638461538461538,0.88,0.9830769230769231,1.0,[404 404 404 ... 404 404 895],"[404 404 404 404 404 404 908 404 404 895 404 404 404 404 404 404 404 404
 404 404 404 404 404 895 404 404 405 404 404 404 404 404 404 404 404 404
 404 404 404 404 404 404 403 895 404 404 404 404 404 404]"
n03095699,0.87,0.82,0.9830769230769231,0.96,[403 510 510 ... 510 510 540],"[510 510 510 510 687 510 913 510 510 510 510 510 510 867 913 510 510 510
 540 510 510 510 510 510 510 510 510 510 510 510 510 718 510 510 510 510
 510 510 510 510 510 554 510 510 510 833 510 510 510 536]"
n02423022,0.7438461538461538,0.62,0.9638461538461538,0.92,[353 353 353 ... 353 104 354],"[352 352 348 353 353 353 353 353 352 353 352 353 353 353 173 353 138 353
 353 353 353 353 352 104 345 353 353 353 353 351 352 353 353 353 388 352
 353 352 352 352 353 825 353 353 353 353 353 353 353 352]"
n07742313,0.8423076923076923,0.86,0.9584615384615385,0.92,[948 948 951 ... 948 948 948],"[987 948 948 948 948 948 949 948 948 948 948 948 948 636 948 948 948 948
 948 948 948 948 948 948 948 948 948 948 948 572 948 948 948 948 948 948
 948 948 907 948 945 948 948 948 948 957 948 948 948 948]"
n04483307,0.75,0.64,0.9692307692307692,0.94,[871 871 871 ... 871 484 871],"[871 871 484 460 871 871 484 871 871 914 871 404 871 871 871 871 871 871
 664 871 871 871 871 871 871 405 484 871 780 484 871 871 484 871 744 484
 871 484 871 871 871 871 871 554 871 871 484 871 536 491]"
