,breed,dog_group
175,Shetland Sheepdog,Herding
176,Shiba Inu,Non-Sporting
177,Shih Tzu,Toy
178,Siberian Husky,Working
179,Silky Terrier,Toy
180,Skye Terrier,Terrier
181,Sloughi,Hound
182,Smooth Fox Terrier,Terrier
183,Soft-Coated Wheaten Terrier,Terrier
184,Spanish Water Dog,Herding
185,Spinone Italiano,Sporting
186,Staffordshire Bull Terrier,Terrier
187,Standard Schnauzer,Working
188,Sussex Spaniel,Sporting
189,Swedish Vallhund,Herding
190,Tibetan Mastiff,Working
191,Tibetan Spaniel,Non-Sporting
192,Tibetan Terrier,Non-Sporting
193,Toy Fox Terrier,Toy
194,Treeing Walker Coonhound,Hound
195,Vizsla,Sporting
196,Weimaraner,Sporting
197,Welsh Springer Spaniel,Sporting
198,Welsh Terrier,Terrier
199,West Highland White Terrier,Terrier
200,Whippet,Hound
201,Wire Fox Terrier,Terrier
202,Wirehaired Pointing Griffon,Sporting
203,Wirehaired Vizsla,Sporting
204,Xoloitzcuintli,Non-Sporting
205,Yorkshire Terrier,Toy
