class_number,wordnet_id,label,umap_x,umap_y
51,n01704323,triceratops,2.4682298,9.427702
52,n01728572,"thunder snake, worm snake, Carphophis amoenus",2.3498344,8.328999
53,n01728920,"ringneck snake, ring-necked snake, ring snake",2.3392239,8.516804
54,n01729322,"hognose snake, puff adder, sand viper",2.2583501,8.470588
55,n01729977,"green snake, grass snake",2.476402,8.131774
56,n01734418,"king snake, kingsnake",2.3430216,8.283672
57,n01735189,"garter snake, grass snake",2.2235386,8.434264
58,n01737021,water snake,1.057896,6.1973104
59,n01739381,vine snake,2.2448833,8.44304
60,n01740131,"night snake, Hypsiglena torquata",2.363708,8.181832
61,n01742172,"boa constrictor, Constrictor constrictor",2.4758284,8.501922
62,n01744401,"rock python, rock snake, Python sebae",2.215469,8.059112
63,n01748264,"Indian cobra, Naja naja",3.6639063,8.615201
64,n01749939,green mamba,2.7549062,7.9872074
65,n01751748,sea snake,2.0234919,8.410774
66,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",2.2982185,9.166037
67,n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus",2.429962,9.12446
68,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes",2.9887,3.2136555
69,n01768244,trilobite,2.3800018,9.348276
70,n01770081,"harvestman, daddy longlegs, Phalangium opilio",1.5899236,9.361759
71,n01770393,scorpion,2.1743956,9.032923
72,n01773157,"black and gold garden spider, Argiope aurantia",2.8410544,6.909437
73,n01773549,"barn spider, Araneus cavaticus",2.658085,7.6625495
74,n01773797,"garden spider, Aranea diademata",2.3365893,8.026899
75,n01774384,"black widow, Latrodectus mactans",3.2064404,7.860984
76,n01774750,tarantula,1.9285616,9.262584
77,n01775062,"wolf spider, hunting spider",2.7374585,8.641154
78,n01776313,tick,2.5010123,7.855749
79,n01784675,centipede,2.0432856,9.138095
80,n01795545,black grouse,3.5081596,8.201026
81,n01796340,ptarmigan,3.3444407,8.492643
82,n01797886,"ruffed grouse, partridge, Bonasa umbellus",3.5425203,8.491966
83,n01798484,"prairie chicken, prairie grouse, prairie fowl",0.39194655,6.7966766
84,n01806143,peacock,2.6597648,8.506478
85,n01806567,quail,3.5240057,8.504275
86,n01807496,partridge,3.4821262,8.4747095
87,n01817953,"African grey, African gray, Psittacus erithacus",3.5886028,8.287347
88,n01818515,macaw,2.5297449,10.130887
89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",2.5112562,10.271943
90,n01820546,lorikeet,2.5456092,10.208942
91,n01824575,coucal,2.100032,10.554639
92,n01828970,bee eater,1.9494437,8.735215
93,n01829413,hornbill,2.1662064,10.406319
94,n01833805,hummingbird,2.054312,9.740748
95,n01843065,jacamar,1.9412591,10.407111
96,n01843383,toucan,2.5383282,10.003485
97,n01847000,drake,3.2258906,7.552796
98,n01855032,"red-breasted merganser, Mergus serrator",2.0773754,10.460021
99,n01855672,goose,3.288337,8.268877
100,n01860187,"black swan, Cygnus atratus",3.176532,7.693406
101,n01871265,tusker,3.241483,9.706997
102,n01872401,"echidna, spiny anteater, anteater",2.848184,9.847114
103,n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",2.874467,9.75534
104,n01877812,"wallaby, brush kangaroo",3.1857872,9.690935
105,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3.2037375,9.762377
106,n01883070,wombat,3.0764413,9.842632
107,n01910747,jellyfish,1.3833544,8.794842
108,n01914609,"sea anemone, anemone",1.415631,8.461651
109,n01917289,brain coral,1.7497922,8.231543
110,n01924916,"flatworm, platyhelminth",1.3981967,9.33625
111,n01930112,"nematode, nematode worm, roundworm",1.501062,9.415506
112,n01943899,conch,1.2113981,8.404189
113,n01944390,snail,1.657854,8.373473
114,n01945685,slug,1.7583303,8.240153
115,n01950731,"sea slug, nudibranch",1.625059,8.405371
116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.0619922,9.100474
117,n01968897,"chambered nautilus, pearly nautilus, nautilus",3.3653457,5.837601
118,n01978287,"Dungeness crab, Cancer magister",1.2935232,8.467567
119,n01978455,"rock crab, Cancer irroratus",1.4964489,8.256072
120,n01980166,fiddler crab,1.3448868,8.4481125
121,n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",1.6495223,8.363759
122,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",3.9059281,8.229216
123,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.2973894,8.624393
124,n01985128,"crayfish, crawfish, crawdad, crawdaddy",1.323613,8.832468
125,n01986214,hermit crab,1.3334242,8.465939
126,n01990800,isopod,1.3805169,9.179143
127,n02002556,"white stork, Ciconia ciconia",3.2544804,7.7633786
128,n02002724,"black stork, Ciconia nigra",3.2057288,7.8877907
129,n02006656,spoonbill,1.9669639,10.47909
130,n02007558,flamingo,2.6259294,8.547396
131,n02009229,"little blue heron, Egretta caerulea",2.9748397,7.9657326
132,n02009912,"American egret, great white heron, Egretta albus",3.7476697,8.276271
133,n02011460,bittern,1.9907421,10.505784
134,n02012849,cranes,4.111844,5.027023
135,n02013706,"limpkin, Aramus pictus",1.7579451,10.403609
136,n02017213,"European gallinule, Porphyrio porphyrio",3.869813,8.039353
137,n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana",3.8489492,8.190011
138,n02018795,bustard,2.3264112,10.412233
139,n02025239,"ruddy turnstone, Arenaria interpres",2.0091505,10.538029
140,n02027492,"red-backed sandpiper, dunlin, Erolia alpina",1.9355478,10.494718
141,n02028035,"redshank, Tringa totanus",1.9935895,10.5905485
142,n02033041,dowitcher,1.9008132,10.608826
143,n02037110,"oystercatcher, oyster catcher",2.0111709,10.500975
144,n02051845,pelican,3.0031843,8.378098
145,n02056570,"king penguin, Aptenodytes patagonica",2.5910988,8.096073
146,n02058221,"albatross, mollymawk",2.9797564,8.793343
147,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",3.0821738,8.098611
148,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",2.7062414,8.361833
149,n02074367,"dugong, Dugong dugon",1.4866396,8.7971525
150,n02077923,sea lion,2.397912,8.381334
151,n02085620,Chihuahua,5.5020285,9.79597
152,n02085782,Japanese spaniel,5.778333,8.987769
153,n02085936,"Maltese dog, Maltese terrier, Maltese",5.4431167,9.309071
154,n02086079,"Pekinese, Pekingese, Peke",5.6102552,10.1007
155,n02086240,Shih-Tzu,5.679592,10.074814
156,n02086646,Blenheim spaniel,5.999524,9.579549
157,n02086910,papillon,5.58535,9.777562
158,n02087046,toy terrier,5.4689064,9.345
159,n02087394,Rhodesian ridgeback,6.0807652,10.183847
160,n02088094,"Afghan hound, Afghan",5.4364166,9.23778
161,n02088238,"basset, basset hound",5.651329,9.763046
162,n02088364,beagle,5.6218615,9.848802
163,n02088466,"bloodhound, sleuthhound",5.7145886,9.998734
164,n02088632,bluetick,6.055966,10.162819
165,n02089078,black-and-tan coonhound,6.1398945,10.064534
166,n02089867,"Walker hound, Walker foxhound",5.3246536,9.134075
167,n02089973,English foxhound,5.7538342,8.665285
168,n02090379,redbone,6.0554924,10.15884
169,n02090622,"borzoi, Russian wolfhound",6.188009,10.280815
170,n02090721,Irish wolfhound,5.9965463,8.949791
171,n02091032,Italian greyhound,5.5147395,8.738482
172,n02091134,whippet,6.1516857,10.145501
173,n02091244,"Ibizan hound, Ibizan Podenco",5.541238,9.494966
174,n02091467,"Norwegian elkhound, elkhound",5.6689615,8.822193
175,n02091635,"otterhound, otter hound",6.240545,10.2628145
176,n02091831,"Saluki, gazelle hound",6.1318254,10.229791
177,n02092002,"Scottish deerhound, deerhound",6.155477,8.953966
178,n02092339,Weimaraner,6.006911,10.165745
179,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",6.408578,9.119595
180,n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",6.2165027,9.047078
181,n02093647,Bedlington terrier,6.3999667,9.529364
182,n02093754,Border terrier,6.151489,9.229119
183,n02093859,Kerry blue terrier,5.7583184,9.079761
184,n02093991,Irish terrier,6.1385093,9.036756
185,n02094114,Norfolk terrier,6.3813543,9.23803
186,n02094258,Norwich terrier,6.427705,9.250352
187,n02094433,Yorkshire terrier,6.3782043,9.2497635
188,n02095314,wire-haired fox terrier,6.10707,9.282683
189,n02095570,Lakeland terrier,6.365778,9.279426
190,n02095889,"Sealyham terrier, Sealyham",6.4360642,9.633906
191,n02096051,"Airedale, Airedale terrier",6.4640164,9.524258
192,n02096177,"cairn, cairn terrier",6.421615,9.27863
193,n02096294,Australian terrier,6.026233,9.148612
194,n02096437,"Dandie Dinmont, Dandie Dinmont terrier",6.5174794,9.637615
195,n02096585,"Boston bull, Boston terrier",5.6158414,8.923735
196,n02097047,miniature schnauzer,5.405658,9.619626
197,n02097130,giant schnauzer,5.2545643,9.509298
198,n02097209,standard schnauzer,5.3771176,9.499912
199,n02097298,"Scotch terrier, Scottish terrier, Scottie",6.376759,9.204042
200,n02097474,"Tibetan terrier, chrysanthemum dog",6.023154,9.1959305
201,n02097658,"silky terrier, Sydney silky",6.256402,9.3846655
202,n02098105,soft-coated wheaten terrier,6.4156814,9.564439
203,n02098286,West Highland white terrier,5.73747,8.963016
204,n02098413,"Lhasa, Lhasa apso",5.782496,9.241174
205,n02099267,flat-coated retriever,6.034171,9.845533
206,n02099429,curly-coated retriever,5.994407,9.71206
207,n02099601,golden retriever,6.0156403,9.543122
208,n02099712,Labrador retriever,5.9519124,9.737758
209,n02099849,Chesapeake Bay retriever,6.0802093,9.386118
210,n02100236,German short-haired pointer,5.632731,8.809651
211,n02100583,"vizsla, Hungarian pointer",6.0218444,10.201218
212,n02100735,English setter,5.7525225,8.687834
213,n02100877,"Irish setter, red setter",5.9323926,8.836735
214,n02101006,Gordon setter,5.8442,8.854902
215,n02101388,Brittany spaniel,6.037339,9.465042
216,n02101556,"clumber, clumber spaniel",6.04552,9.770416
217,n02102040,"English springer, English springer spaniel",5.758663,8.73256
218,n02102177,Welsh springer spaniel,5.9542465,9.277787
219,n02102318,"cocker spaniel, English cocker spaniel, cocker",5.9368477,9.771406
220,n02102480,Sussex spaniel,6.096576,9.425571
221,n02102973,Irish water spaniel,5.8591866,9.043692
222,n02104029,kuvasz,6.123037,10.298522
223,n02104365,schipperke,6.0990486,10.285718
224,n02105056,groenendael,5.842733,10.37099
225,n02105162,malinois,5.8440366,10.189125
226,n02105251,briard,6.1221337,10.261346
227,n02105412,kelpie,6.1377473,10.053586
228,n02105505,komondor,6.0778394,10.24393
229,n02105641,"Old English sheepdog, bobtail",5.7162967,8.737248
230,n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland",6.061754,9.464815
231,n02106030,collie,5.970212,9.907594
232,n02106166,Border collie,6.105459,9.383128
233,n02106382,"Bouvier des Flandres, Bouviers des Flandres",5.328377,8.977589
234,n02106550,Rottweiler,5.746445,10.005744
235,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",5.5700307,8.638065
236,n02107142,"Doberman, Doberman pinscher",5.7027135,9.995684
237,n02107312,miniature pinscher,5.456004,9.642143
238,n02107574,Greater Swiss Mountain dog,3.9644742,7.1878057
239,n02107683,Bernese mountain dog,4.9320354,8.695794
240,n02107908,Appenzeller,5.903387,9.958995
241,n02108000,EntleBucher,6.0287576,9.791978
242,n02108089,boxer,5.816146,9.152
243,n02108422,bull mastiff,5.7026067,9.30932
244,n02108551,Tibetan mastiff,5.8181477,9.142106
245,n02108915,French bulldog,5.4563212,8.601829
246,n02109047,Great Dane,4.231173,7.8721175
247,n02109525,"Saint Bernard, St Bernard",4.517726,7.970786
248,n02109961,"Eskimo dog, husky",4.9627614,9.173691
249,n02110063,"malamute, malemute, Alaskan malamute",5.888121,10.107121
250,n02110185,Siberian husky,5.769961,9.908349
251,n02110341,"dalmatian, coach dog, carriage dog",5.607902,9.712855
252,n02110627,"affenpinscher, monkey pinscher, monkey dog",6.3780236,9.87865
253,n02110806,basenji,6.139739,10.150651
254,n02110958,"pug, pug-dog",5.5646048,9.878394
255,n02111129,Leonberg,1.74387,9.839856
256,n02111277,"Newfoundland, Newfoundland dog",5.9150257,9.385091
257,n02111500,Great Pyrenees,4.321537,7.842984
258,n02111889,"Samoyed, Samoyede",6.1288013,10.223438
259,n02112018,Pomeranian,5.670948,10.014732
260,n02112137,"chow, chow chow",5.2470264,9.132872
261,n02112350,keeshond,6.0963078,10.220245
262,n02112706,Brabancon griffon,5.6088595,9.724515
263,n02113023,"Pembroke, Pembroke Welsh corgi",6.3190527,9.253529
264,n02113186,"Corgi, dachshund",5.75634,9.287241
265,n02113624,toy poodle,5.2381597,9.46097
266,n02113712,miniature poodle,5.4079957,9.576093
267,n02113799,standard poodle,5.3839765,9.406095
268,n02113978,Mexican hairless,4.109385,8.310459
269,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",3.2756782,7.8774066
270,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",3.248389,7.8017263
271,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",3.235253,7.94652
272,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",3.3608527,8.775323
273,n02115641,"dingo, warrigal, warragal, Canis dingo",4.4834127,9.339368
274,n02115913,"dhole, Cuon alpinus",2.455859,10.376227
275,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",3.9546125,8.689303
276,n02117135,"hyena, hyaena",2.979972,9.581764
277,n02119022,"red fox, Vulpes vulpes",3.3972254,7.8182683
278,n02119789,"kit fox, Vulpes macrotis",3.588094,7.7604256
279,n02120079,"Arctic fox, white fox, Alopex lagopus",3.420221,8.006171
280,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",3.341011,7.9429135
281,n02123045,"tabby, tabby cat",4.793888,9.579861
282,n02123159,tiger cat,3.599491,9.19872
283,n02123394,Persian cat,4.3231726,9.2317
284,n02123597,"Siamese cat, Siamese",4.317943,9.312559
285,n02124075,Egyptian cat,4.0739636,9.154511
286,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",3.2654088,8.7538
287,n02127052,"lynx, catamount",3.2904723,8.905308
288,n02128385,"leopard, Panthera pardus",2.8768086,9.183513
289,n02128757,"snow leopard, ounce, Panthera uncia",2.9539502,8.017796
290,n02128925,"jaguar, panther, Panthera onca, Felis onca",2.382983,9.323476
291,n02129165,"lion, king of beasts, Panthera leo",2.8774424,9.100287
292,n02129604,"tiger, Panthera tigris",2.9208272,9.139915
293,n02130308,"cheetah, chetah, Acinonyx jubatus",2.8921025,9.456741
294,n02132136,"brown bear, bruin, Ursus arctos",3.1023328,7.678859
295,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",3.5057077,7.6917167
296,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",2.9463809,7.704592
297,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",3.2603307,9.153341
298,n02137549,mongoose,2.6998298,9.423252
299,n02138441,"meerkat, mierkat",3.1550624,9.880493
300,n02165105,tiger beetle,2.2217834,9.37097
301,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.3712288,7.8823767
302,n02167151,"ground beetle, carabid beetle",1.9701465,9.4230585
303,n02168699,"long-horned beetle, longicorn, longicorn beetle",1.84018,9.51026
304,n02169497,"leaf beetle, chrysomelid",1.9299351,9.418199
305,n02172182,dung beetle,1.917945,9.48408
306,n02174001,rhinoceros beetle,2.0721664,9.533142
307,n02177972,weevil,1.677421,9.469105
308,n02190166,fly,3.9604018,6.2002463
309,n02206856,bee,2.0071719,8.785377
310,n02219486,"ant, emmet, pismire",2.0018575,8.8229885
311,n02226429,"grasshopper, hopper",1.9012487,9.223824
312,n02229544,cricket,5.0108657,4.036192
313,n02231487,"walking stick, walkingstick, stick insect",2.6468928,5.912977
314,n02233338,"cockroach, roach",1.8844763,9.188924
315,n02236044,"mantis, mantid",2.0601752,9.27237
316,n02256656,"cicada, cicala",1.8124927,9.16933
317,n02259212,leafhopper,1.405169,9.799244
318,n02264363,"lacewing, lacewing fly",1.4667383,9.648562
319,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1.8062912,9.356042
320,n02268853,damselfly,1.7067972,9.63385
321,n02276258,admiral,3.9690773,6.150946
322,n02277742,"ringlet, ringlet butterfly",2.6747196,9.640502
323,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",2.473525,8.113784
324,n02280649,cabbage butterfly,0.6051277,7.5825977
325,n02281406,"sulphur butterfly, sulfur butterfly",2.0079432,8.082158
326,n02281787,"lycaenid, lycaenid butterfly",1.0740681,9.896932
327,n02317335,"starfish, sea star",1.3922582,8.435122
328,n02319095,sea urchin,1.424762,8.464327
329,n02321529,"sea cucumber, holothurian",1.1824627,8.408689
330,n02325366,"wood rabbit, cottontail, cottontail rabbit",2.8485277,7.472735
331,n02326432,hare,3.4512324,8.932183
332,n02328150,"Angora, Angora rabbit",2.3121116,7.4776225
333,n02342885,hamster,3.6127162,9.444916
334,n02346627,"porcupine, hedgehog",3.2890482,9.30646
335,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",3.3477762,8.786695
336,n02361337,marmot,3.7827353,7.112734
337,n02363005,beaver,3.2319248,8.474315
338,n02364673,"guinea pig, Cavia cobaya",3.7149186,9.201784
339,n02389026,sorrel,5.796517,9.53878
340,n02391049,zebra,2.8697407,9.290521
341,n02395406,"hog, pig, grunter, squealer, Sus scrofa",3.6145072,8.735006
342,n02396427,"wild boar, boar, Sus scrofa",3.4604626,8.770271
343,n02397096,warthog,2.7789764,9.741119
344,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2.9874659,9.545453
345,n02403003,ox,3.1309204,8.577556
346,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.8399182,6.114521
347,n02410509,bison,3.5732281,8.658521
348,n02412080,"ram, tup",3.919585,4.2066526
349,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",3.586085,8.67035
350,n02417914,"ibex, Capra ibex",3.2504003,8.846747
351,n02422106,hartebeest,2.701242,9.754527
352,n02422699,"impala, Aepyceros melampus",2.5657668,9.568628
353,n02423022,gazelle,2.8154745,9.552852
354,n02437312,"Arabian camel, dromedary, Camelus dromedarius",3.882493,8.766239
355,n02437616,llama,3.4801106,9.097859
356,n02441942,weasel,3.226153,9.634469
357,n02442845,mink,2.4686534,7.6207447
358,n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius",3.3307827,9.682671
359,n02443484,"black-footed ferret, ferret, Mustela nigripes",3.4910529,9.584155
360,n02444819,otter,3.0133996,8.598016
361,n02445715,"skunk, polecat, wood pussy",3.2067578,9.431929
362,n02447366,badger,3.3028193,8.459277
363,n02454379,armadillo,2.39306,9.27488
364,n02457408,"three-toed sloth, ai, Bradypus tridactylus",2.9172246,9.726
365,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",3.1341007,10.111109
366,n02480855,"gorilla, Gorilla gorilla",3.286671,9.891429
367,n02481823,"chimpanzee, chimp, Pan troglodytes",3.1872725,10.148261
368,n02483362,"gibbon, Hylobates lar",3.0618744,10.2343855
369,n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus",2.9819355,10.247009
370,n02484975,"guenon, guenon monkey",3.0328908,10.248831
371,n02486261,"patas, hussar monkey, Erythrocebus patas",3.0473106,10.204854
372,n02486410,baboon,3.077109,10.076912
373,n02487347,macaque,2.9496534,10.348138
374,n02488291,langur,2.76977,10.404933
375,n02488702,"colobus, colobus monkey",2.9661202,10.341809
376,n02489166,"proboscis monkey, Nasalis larvatus",3.0720673,10.130259
377,n02490219,marmoset,2.9662807,10.287654
378,n02492035,"capuchin, ringtail, Cebus capucinus",3.0449002,10.249076
379,n02492660,"howler monkey, howler",3.0934248,10.110697
380,n02493509,"titi, titi monkey",3.018259,10.219018
381,n02493793,"spider monkey, Ateles geoffroyi",2.6768827,9.25413
382,n02494079,"squirrel monkey, Saimiri sciureus",3.2030396,9.618155
383,n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta",3.958519,9.272224
384,n02500267,"indri, indris, Indri indri, Indri brevicaudatus",2.8839247,10.356773
385,n02504013,"Indian elephant, Elephas maximus",3.7876742,8.783223
386,n02504458,"African elephant, Loxodonta africana",3.7437937,8.909319
387,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",3.0919893,8.55498
388,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",3.023724,8.708975
389,n02514041,"barracouta, snoek",0.95691425,9.880305
390,n02526121,eel,1.2971106,8.772532
391,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.277396,8.758488
392,n02606052,"rock beauty, Holocanthus tricolor",2.6193204,7.025967
393,n02607072,anemone fish,1.3461133,8.588423
394,n02640242,sturgeon,1.2636665,8.778332
395,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus",2.442964,9.105966
396,n02643566,lionfish,1.4024,8.881726
397,n02655020,"puffer, pufferfish, blowfish, globefish",1.7387422,7.740842
398,n02666196,abacus,3.1508083,6.961418
399,n02667093,abaya,1.8034304,6.92545
400,n02669723,"academic gown, academic robe, judge's robe",1.9816992,6.912669
401,n02672831,"accordion, piano accordion, squeeze box",3.9256375,2.7591252
402,n02676566,acoustic guitar,3.8000708,2.9921212
403,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier",4.130337,5.7624784
404,n02690373,airliner,4.164009,5.780637
405,n02692877,"airship, dirigible",4.1725883,6.029375
406,n02699494,altar,3.152983,6.544605
407,n02701002,ambulance,4.5467086,5.067466
408,n02704792,"amphibian, amphibious vehicle",2.226134,9.172081
409,n02708093,analog clock,3.071865,3.855588
410,n02727426,"apiary, bee house",2.016752,8.936317
411,n02730930,apron,1.7654215,6.4922194
412,n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",1.7743391,7.834618
413,n02749479,"assault rifle, assault gun",3.5145702,5.7542405
414,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",2.0020008,5.5567036
415,n02776631,"bakery, bakeshop, bakehouse",-0.18528387,6.2646236
416,n02777292,"balance beam, beam",2.902214,4.799495
417,n02782093,balloon,3.910593,6.331843
418,n02783161,"ballpoint, ballpoint pen, ballpen, Biro",1.2575805,5.5921245
419,n02786058,Band Aid,3.304915,5.07092
420,n02787622,banjo,3.902093,2.7777836
421,n02788148,"bannister, banister, balustrade, balusters, handrail",3.72615,7.2065063
422,n02790996,barbell,2.344298,5.3627815
423,n02791124,barber chair,1.7796857,4.3770037
424,n02791270,barbershop,1.7268171,4.24198
425,n02793495,barn,2.935049,6.9473577
426,n02794156,barometer,3.2660255,4.122107
427,n02795169,"barrel, cask",2.909855,5.6062174
428,n02797295,"barrow, garden cart, lawn cart, wheelbarrow",3.1375809,7.031714
429,n02799071,baseball,5.0303016,4.1551414
430,n02802426,basketball,5.0699,4.1441035
431,n02804414,bassinet,1.5470145,5.0407386
432,n02804610,bassoon,3.9116077,2.6746738
433,n02807133,"bathing cap, swimming cap",1.8105427,6.0958414
434,n02808304,bath towel,1.2017441,4.967041
435,n02808440,"bathtub, bathing tub, bath, tub",1.0934824,4.7006454
436,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",4.2446346,6.308882
437,n02814860,"beacon, lighthouse, beacon light, pharos",3.2974765,4.6113453
438,n02815834,beaker,0.47034815,5.357545
439,n02817516,"bearskin, busby, shako",2.2312043,7.368093
440,n02823428,beer bottle,0.65359575,5.8727393
441,n02823750,beer glass,0.61732274,5.7655544
442,n02825657,"bell cote, bell cot",4.065179,7.840397
443,n02834397,bib,1.9323709,6.576444
444,n02835271,trikes,4.8186045,5.507153
445,n02837789,"bikini, two-piece",1.7628131,6.691945
446,n02840245,"binder, ring-binder",1.7126042,5.556217
447,n02841315,"binoculars, field glasses, opera glasses",2.455383,3.8602953
448,n02843684,birdhouse,1.5706286,7.49997
449,n02859443,boathouse,4.500017,6.67648
